Song Title,Lyrics
1,
1. Lucy in the Sky with Diamonds,"Picture yourself in a boat on a river <br> With tangerine trees and marmalade skies <br> Somebody calls you, you answer quite slowly <br> A girl with kaleidoscope eyes <br> Cellophane flowers of yellow and green <br> Towering over your head <br> Look for the girl with the sun in her eyes <br> And she's gone <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Ah <br> Follow her down to a bridge by a fountain <br> Where rocking horse people eat marshmallow pies <br> Everyone smiles as you drift past the flowers <br> That grow so incredibly high <br> Newspaper taxis appear on the shore <br> Waiting to take you away <br> Climb in the back with your head in the clouds  <br>  <br>  <br>  <br> And you're gone <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Ah <br> Picture yourself on a train in a station <br> With plasticine porters with looking gla** ties <br> Suddenly someone is there at the turnstile <br> The girl with the kaleidoscope eyes <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Ah <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Ah <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds <br> Lucy in the sky with diamonds"
12-bar Original,[instrumental] <br> 
1822!," <br>  <br>  <br>  <br> [Speech] <br> John: This is a Dorsey Burnette number, brother of Johnny Burnette, called ""Lonesome Tears in My Eyes,"" recorded on their very first LP in 1822! *all laugh* Ha!"
A Collection of Beatles Oldies (But Goldies!),"Side One <br> 1. ""She Loves You"" <br> 2. ""From Me to You"" <br> 3. ""We Can Work It Out"" <br> 4. ""Help!"" <br> 5. ""Michelle"" <br> 6. ""Yesterday"" <br> 7. ""I Feel Fine"" <br> 8. ""Yellow Submarine"" <br> Side two <br> 1. ""Can't Buy Me Love""  <br>  <br>  <br>  <br> 2. ""Bad Boy"" <br> 3. ""Day Tripper"" <br> 4. ""A Hard Day's Night"" <br> 5. ""Ticket to Ride"" <br> 6. ""Paperback Writer"" <br> 7. ""Eleanor Rigby"" <br> 8. ""I Want to Hold Your Hand"""
A Day in the Life,"I read the news today, oh boy <br> About a lucky man who made the grade <br> And though the news was rather sad <br> Well, I just had to laugh <br> I saw the photograph <br> He blew his mind out in a car <br> He didn't notice that the lights had changed <br> A crowd of people stood and stared <br> They'd seen his face before <br> Nobody was really sure if he was from the House of Lords <br> I saw a film today, oh boy <br> The English army had just won the war <br> A crowd of people turned away <br> But I just had to look <br> Having read the book <br> I'd love to turn you on <br> ( One) <br> Woke up, fell out of bed <br> Dragged a comb across my head  <br>  <br>  <br>  <br> Found my way downstairs and drank a cup <br> And looking up, I noticed I was late <br> ( Huh, huh, huh, huh) <br> Found my coat and grabbed my hat <br> Made the bus in seconds flat <br> Found my way upstairs and had a smoke <br> And somebody spoke and I went into a dream <br> Ah, ah ah ah <br> Ah ah ah, ah ah ah <br> Ah <br> Ah, ah ah ah, ah ah ah <br> I read the news today, oh boy <br> Four thousand holes in Blackburn, Lancashire <br> And though the holes were rather small <br> They had to count them all <br> Now they know how many holes it takes to fill the Albert Hall <br> I'd love to turn you on"
A Day In The Life(lennon/mccartney),"i read the news today oh, boy <br> About a lucky man who made the grade <br> And though the news was rather sad <br> Well i just had to laugh and <br> I saw the photograph <br> He blew his mind out in a car <br> He didn't notice that the lights had changed <br> A crowd of people stood and stared <br> They'd seen his face before, <br> Nobody was really sure if he was from the house of lords. <br> I saw a film today oh, boy <br> The english army had just won the war <br> A crowd of people turned away <br> But i just had a look <br> Having read the book, <br> I'd love to turn you on... <br>  <br>  <br>  <br> Woke up, fell out of bed, <br> Dragged a comb across my head <br> Found my way downstairs and drank a cup, <br> And looking up i noticed i was late. <br> Found my coat and grabbed my hat <br> Made the bus in seconds flat <br> Found my way upstairs and had a smoke, <br> Somebody spoke and i went into a dream <br> Ah <br> I read the news today oh boy <br> Four thousand holes in blackburn, lancashire <br> And though the holes were rather small <br> They had to count them all, <br> Now they know how many holes it takes to fill the albert hall. <br> I'd love to turn you on... <br> "
A Hard Day's Night,"It's been a hard day's night <br> And I've been working like a dog <br> It's been a hard day's night <br> I should be sleeping like a log <br> But when I get home to you <br> I find the things that you do <br> Will make me feel all right <br> You know I work all day <br> To get you money to buy you things <br> And it's worth it just to hear you say <br> You're gonna give me everything <br> So why on earth should I moan? <br> 'Cause when I get you alone <br> You know I'll feel okay <br> When I'm home <br> Everything seems to be right <br> When I'm home <br> Feeling you holding me tight <br> Tight, yeah <br> It's been a hard day's night <br> And I've been working like a dog <br> It's been a hard day's night  <br>  <br>  <br>  <br> I should be sleeping like a log <br> But when I get home to you <br> I find the things that you do <br> Will make me feel all right <br> Ow! <br> So why on earth should I moan? <br> 'Cause when I get you alone <br> You know I feel okay <br> When I'm home <br> Everything seems to be right <br> When I'm home <br> Feeling you holding me tight <br> Tight, yeah <br> Ooh, it's been a hard day's night <br> And I've been working like a dog <br> It's been a hard day's night <br> I should be sleeping like a log <br> But when I get home to you <br> I find the things that you do <br> Will make me feel all right <br> You know, I feel all right <br> You know, I feel all right"
A Hard Day's Night (lennon/mccartney),"It's been a hard day's night, and i been working like a dog <br> It's been a hard day's night, i should be sleeping like a log <br> But when i get home to you i'll find the things that you do <br> Will make me feel alright <br> You know i work all day to get you money to buy you things <br> And it's worth it just to hear you say you're going to give me everything <br>  <br>  <br>  <br> So why on earth should i moan, 'cause when i get you alone <br> You know i feel ok <br> When i'm home everything seems to be right <br> When i'm home feeling you holding me tight, tight <br> Owww! <br> So why on earth should i moan, 'cause when i get you alone <br> You know i feel ok <br> You know i feel alright <br> You know i feel alright <br> "
A Hard Day's Night (U.S. version),"Side 1 1. ""A Hard Day's Night"" <br> 2. ""Tell Me Why"" <br> 3. ""I'll Cry Instead"" <br> 4. ""I Should Have Known Better"" (instrumental) <br> 5. ""I'm Happy Just to Dance with You"" <br> 6. ""And I Love Her"" (instrumental ) Side two 1. ""I Should Have Known Better""  <br>  <br>  <br>  <br> 2. ""If I Fell"" <br> 3. ""And I Love Her"" <br> 4. ""Ringo's Theme (This Boy)"" (instrumental) <br> 5. ""Can't Buy Me Love"" <br> 6. ""A Hard Day's Night"" (instrumental)"
