Song Title,Lyrics
&burn,"[Verse 1: Billie Eilish] Lips meet teeth and tongue <br> My heart skips eight beats at once <br> If we were meant to be, we would have been by now <br> See what you wanna see, all I see is him right now <br> Him right now <br> [Chorus: Billie Eilish] I’ll sit and watch your car burn <br> With the fire that you started in me <br> But you never came back to ask it out <br> Go ahead and watch my heart burn <br> With the fire that you started in me <br> But I’ll never let you back to put it out <br> (Thanks) <br> [Verse 2: Billie Eilish] Your love feels so fake <br> My demands aren’t high to make <br> If I could get to sleep, I would have slept by now <br> Your lies will never keep, I think you need to blow ’em out <br> Blow them out <br> [Chorus: Billie Eilish] I’ll sit and watch your car burn <br> With the fire that you started in me <br> But you never came back to ask it out <br> Go ahead and watch my heart burn <br> With the fire that you started in me <br> But I’ll never let you back to put it out <br> [Bridge: Vince Staples] 7-4-2008 <br> I still remember that <br> Heaven sent a present my way  <br>  <br>  <br>  <br> I won’t forget your laugh <br> Packing everything when you leave <br> You know you coming back <br> Wanna see me down on my knees <br> But that was made for a ring <br> I try to wait for the storm to calm down <br> But that’s stubborn baby, leading a war <br> We droned down on each other <br> Tryin’ to even the score <br> We all been found guilty in the court of a order <br> [Chorus: Billie Eilish] And I’ll watch your car burn <br> With the fire that you started in me <br> But you never came back to ask it out <br> Go ahead and watch my heart burn <br> With the fire that you started in me <br> But I’ll never let you back to put it out <br> [Outro: Billie Eilish & Vince Staples] Watch your car, watch your car burn <br> I won’t forget your laugh <br> Go ahead and watch my heart, watch my heart burn <br> You know you coming back, you know you coming back <br> Watch your car, watch your car burn <br> (Go ahead and watch my heart, watch my heart burn) <br> Tryin’ to even the score <br> Go ahead and watch my heart, watch my heart burn <br> Found guilty in the court of a order"
8,"La traduction de 8 de Billie Eilish est disponible en bas de page juste après les paroles originales <br> Wait a minute <br> I know you don't care <br> But, can you listen? <br> I came commited, guess I overdid it <br> Wore my heart out on a chain <br> Around my neck but now it's missing, hmm <br> So I better go <br> I never really know how to please you <br> You're looking at me like I'm see through <br> I guess I'm gonna go <br> I just never know how you feel <br> Do you even feel anything? <br> You said don't treat me badly <br> But you said it so sadly <br> So I did the best I could <br> Not thinking you would have left me gladly <br> I know you're not sorry <br> Why should you be <br> 'Cause who am I to be in love <br> When your love never is for me <br> Me <br> So I think I better go <br> I never really know how to please you <br> You're looking at me like I'm see through <br> I guess I'm gonna go <br> I just never know how you feel <br> Do you even feel anything? <br> Traduction 8 - Billie Eilish <br> Attends une minute <br> Je sais que tu t'en fous  <br>  <br>  <br>  <br> Mais écoute ! <br> Je me suis investi, sûrement trop d'ailleurs <br> Je balançais mon cœur au bout d'une chaîne <br> Autour de mon cou, mais aujourd'hui il n'est plus là, hmm <br> Donc je ferais mieux d'y aller <br> Je ne sais jamais vraiment comment te plaire <br> Tu me regardes comme si j'étais devin <br> Je pense que je vais y aller <br> Je ne sais jamais comment tu te sens <br> Mais es-tu seulement capable de ressentir quelque chose ? <br> Tu as dit « Ne me fais pas de mal » <br> Mais tu l'as dit si tristement <br> Alors j'ai fait de mon mieux <br> Ne pensant pas que tu me quitterais bien volontiers <br> Je sais que tu n'es pas désolé <br> Pourquoi le serais-tu ? <br> Qui suis-je pour être amoureuse <br> Alors que ton amour ne m'est jamais destiné <br> À moi <br> Donc je ferais mieux d'y aller <br> Je ne sais jamais vraiment comment te plaire <br> Tu me regardes comme si j'étais devin <br> Je pense que je vais y aller <br> Je ne sais jamais comment tu te sens <br> Mais es-tu seulement capable de ressentir quelque chose ?"
All The Good Girls Go To Hell,"La traduction de all the good girls go to hell de Billie Eilish est disponible en bas de page juste après les paroles originales <br> My Lucifer is lonely <br> Standing there, k**ing time <br> Can't commit to anything but a crime <br> Peter's on vacation, an open invitation <br> Animals, evidence <br> Pearly gates look more like a picket fence <br> Once you get inside 'em <br> Got friends but can't invite them <br> Hills burn in California <br> My turn to ignore ya <br> Don't say I didn't warn ya <br> All the good girls go to hell <br> 'Cause even God herself has enemies <br> And once the water starts to rise <br> And heaven's out of sight <br> She'll want the devil on her team <br> My Lucifer is lonely <br> Look at you needing me <br> You know I'm not your friend without some greenery <br> Walk in wearing fetters <br> Peter should know better <br> Your cover up is caving in <br> Man is such a fool <br> Why are we saving him? <br> Poisoning themselves now <br> Begging for our help, wow! <br> Hills burn in California <br> My turn to ignore ya <br> Don't say I didn't warn ya <br> All the good girls go to hell <br> 'Cause even God herself has enemies <br> And once the water starts to rise <br> And heaven's out of sight <br> She'll want the devil on her team <br> My Lucifer is lonely <br> There's nothing left to save now <br> My god is gonna owe me <br> There's nothing left to save now <br> Traduction all the good girls go to hell - Billie Eilish <br> Mon Lucifer se sent seul <br> Il reste là, à tuer le temps  <br>  <br>  <br>  <br> Il ne peut s'impliquer que dans des crimes <br> Peter est en vacances, une invitation lancée <br> Animaux, preuves <br> Les portes nacrées ressemblent davantage à une palissade <br> Une fois que tu es à l'intérieur <br> J'ai des amis mais je ne peux pas les inviter <br> Les collines californiennes s'embrasent <br> A mon tour de t'ignorer <br> Ne dis pas que je ne t'ai pas averti <br> Toutes les braves filles vont en enfer <br> Car même Dieu a ses ennemis <br> Et une fois que l'eau commence à monter <br> Et qu'on perd de vue le paradis <br> Elle voudra prendre le diable dans son équipe <br> Mon Lucifer se sent seul <br> Regarde-toi, tu as besoin de moi <br> Tu sais que je ne suis pas ton ami si tu n'y mets pas le prix <br> J'arrive, avec un boulet au pied <br> Peter devrait le savoir mieux que quiconque <br> Votre couverture est sur le point de lâcher <br> L'Homme n'est qu'un imbécile <br> Pourquoi essayons-nous de le sauver ? <br> Ils s'empoisonnement eux-mêmes maintenant <br> Et ils implorent notre aide, waouh ! <br> Les collines californiennes s'embrasent <br> À mon tour de t'ignorer <br> Ne dis pas que je ne t'ai pas averti <br> Toutes les braves filles vont en enfer <br> Car même Dieu a ses ennemis <br> Et une fois que l'eau commence à monter <br> Et qu'on perd de vue le paradis <br> Elle voudra prendre le diable dans son équipe <br> Mon Lucifer se sent seul <br> Il n'y a plus rien à sauver, à présent <br> Mon dieu va m'être redevable <br> Il n'y a plus rien à sauver, à présent"
​another stupid song**,"[Verse 1] <br> You're saying that you miss me, oh well <br> Never even got a kiss without a countdown <br> It's time to face the facts <br> You treat me like a snack <br> Only text back when you're hungry <br> Your love's so insecure <br> You're never really sure <br> Boy, you never listen <br> I'm not gonna write another stupid song about you, baby <br> [Verse 2] <br> You're saying that you're sorry, so what? <br> You ask me what I want, for you to shut up <br> It's time to come to terms <br> Put myself first  <br>  <br>  <br>  <br> When your bubble bursts got soap in your eye <br> Telling you it's wrong to break into my songs <br> Boy, you got them missing <br> I'm not gonna write another stupid song about you, baby <br> [Bridge] <br> So take this as my last reply <br> And play it when you're lonely <br> Don't you say i didn't try to reach <br> Your hand to hold me <br> I just wanna walk the line <br> Press record and hit rewind <br> I've made up my mind to erase you <br> Oh, to erase you <br> Oh, to erase you <br> Oh, oh"
b**hes broken hearts,"You can pretend you don't miss me <br> You can pretend you don't care <br> All you wanna do is kiss me <br> Oh, what a shame, I'm not there <br> You can pretend you don't miss me <br> You can pretend you don't care <br> All you wanna do is kiss me <br> Oh, what a shame, I'm not there <br> What is it you want? <br> You can lie, but I know that you're not fine <br> Every time you talk <br> You talk 'bout me, but you swear I'm not on your mind <br> You can pretend you don't miss me <br> You can pretend you don't care <br> All you wanna do is kiss me <br> Oh, what a shame, I'm not there  <br>  <br>  <br>  <br> Everybody knows <br> You and I are suicidal stolen art <br> Pretty mama sews <br> Stitches into all your b**hes broken hearts <br> You can pretend you don't miss me <br> You can pretend you don't care <br> All you wanna do is kiss me <br> Oh, what a shame, I'm not there <br> Somebody new <br> Is gonna comfort you like you want me to <br> Somebody new <br> Is gonna comfort me like you never do <br> Every now and then, it hits me <br> That I'm the one that got away <br> But I guess being lonely fits me <br> And you were made for begging, ""stay"""
​bad company/so n so**,"I've got a man that doesn't love me <br> He's got a girl that doesn't love him <br> She's got a brother down in country <br> He's got a tattoo for his cousin <br> Another picture perfect family <br> Shoulda known they'd keep bad company <br> Another house on fire by venice beach  <br>  <br>  <br>  <br> She's got a man she doesn't love who doesn't love me <br> I don't need to know <br> Who you ""can't let go"" <br> Cry 'bout ""so and so"" <br> (She's got a man, got a man, doesn't love me) <br> I don't need to know"
Bad Guy,"White shirt, now red my bloody nose <br> Sleeping, you're on your tippy toes <br> Creeping around like no one knows <br> Think you're so criminal <br> Bruises, on both my knees for you <br> Don't say thank you or please <br> I do what I want when I'm wanting to <br> My soul? So cynical <br> So you're a tough guy <br> Like it really rough guy <br> Just can't get enough guy <br> Chest always so puffed guy <br> I'm that bad type <br> Make your mama sad type <br> Make your girlfriend mad tight <br> Might seduce your dad type <br> I'm the bad guy, duh <br> I like it when you take control <br> Even if you know that you don't <br> Own me, I'll let you play the role <br> I'll be your animal <br> My mommy likes to sing along  <br>  <br>  <br>  <br> With me but she won't sing this song <br> If she reads all the lyrics <br> She'll pity the men I know <br> So you're a tough guy <br> Like it really rough guy <br> Just can't get enough guy <br> Chest always so puffed guy <br> I'm that bad type <br> Make your mama sad type <br> Make your girlfriend mad tight <br> Might seduce your dad type <br> I'm the bad guy, duh <br> I'm only good at being bad <br> Bad <br> I like when you get mad <br> I guess I'm pretty glad <br> That you're alone <br> You said she's scared of me? I mean <br> I don't see what she sees <br> But maybe it's 'cause I'm wearing your cologne <br> I'm a bad guy <br> I'm a bad guy <br> Bad guy, bad guy <br> I'm a bad"
​because i'm in love with you**,"I swear I'd stop breathing <br> If it would benefit you <br> If that's all I had to do <br> I'll give up everything  <br>  <br>  <br>  <br> Because I'm in love with you <br> Yes, I'm in love with you"
Bellyache,[Verse 1] <br> Sitting all alone <br> Mouth full of gum <br> In the driveway <br> My friends aren't far <br> In the back of my car <br> Lay their bodies <br> [Pre-Chorus] <br> Where's my mind <br> Where's my mind <br> [Verse 2] <br> They'll be here pretty soon <br> Looking through my room <br> For the money <br> I'm biting my nails <br> I'm too young to go to jail <br> It's kinda funny <br> [Pre-Chorus] <br> Where's my mind <br> Where's my mind <br> Where's my mind <br> Where's my mind <br> [Chorus] <br> Maybe it's in the gutter <br> Where I left my lover <br> What an expensive fate <br> My V is for Vendetta <br> Thought that I'd feel better <br> But I now I got a bellyache  <br>  <br>  <br>  <br> [Verse 3] <br> Everything I do <br> The way I wear my noose <br> Like a necklace <br> I wanna make 'em scared <br> Like I could be anywhere <br> Like I'm reckless <br> [Pre-Chorus] <br> I lost my mind <br> I don't mind <br> Where's my mind <br> Where's my mind <br> [Chorus] <br> Maybe it's in the gutter <br> Where I left my lover <br> What an expensive fate <br> My V is for Vendetta <br> Thought that I'd feel better <br> But I now I got a bellyache <br> Maybe it's in the gutter <br> Where I left my lover <br> What an expensive fate <br> My V is for Vendetta <br> Thought that I'd feel better <br> But I now I got a bellyache
Billie Bossa Nova,"Love when it comes without a warning <br> 'Cause waiting for it gets so boring <br> A lot can change in twenty seconds <br> A lot can happen in the dark <br> Love when it makes you lose your bearings <br> Some information's not for sharing <br> Use different names at hotel check-ins <br> It's hard to stop it once it starts <br> (It starts) <br> I'm not sentimental <br> But there's somethin' 'bout the way you look tonight <br> Makes me wanna take a picture <br> Make a movie with you that we'd have to hide <br> You better lock your phone <br> And look at me when you're alone <br> Won't take a lot to get you going <br> I'm sorry if it's torture though <br> I know, I know <br> It might be more of an obsession  <br>  <br>  <br>  <br> You really make a strong impression <br> Nobody saw me in the lobby <br> Nobody saw me in your arms <br> I'm not sentimental <br> But there's somethin' 'bout the way you look tonight <br> Makes me wanna make 'em jealous <br> I'm the only one who does it how you like <br> You better lock your phone <br> And look at me when you're alone <br> Won't take a lot to get you going <br> I'm sorry if it's torture though <br> I know, I know <br> You better lock your door <br> And look at me a little more <br> We both know I'm worth waiting for <br> That heavy breathing on the floor <br> I'm yours, I'm yours <br> (I'm yours) <br> I'm not sentimental <br> I'm not sentimental <br> I'm not sentimental"
