Song Title,Lyrics
Almost (Sweet Music),"I came in from the outside, burnt out from a joyride <br> She likes to roll here in my ashes anyway <br> Played from the bedside is Stella by Starlight <br> That was my heart, the drums that start off night and day <br> The same kind of music haunts her bedroom <br> I'm almost me again, she's almost you <br> I wouldn't know where to start <br> Sweet music playin' in the dark <br> Be still my foolish heart <br> Don't ruin this on me <br> I wouldn't know where to start <br> Sweet music playin' in the dark <br> Be still my foolish heart <br> Don't ruin this on me <br> Tell me who and I'll be thanking 'em <br> The numbered lovers of Duke Ellington <br> Do I owe each kiss to lip and cheek as soft as Chet can sing? <br> Let's get lost and let the good times roll <br> Let smoke rings from this paper doll <br> Blow sweet and thick 'til every thought of it don't mean a thing <br> I got some colour back, she thinks so, too <br> I laugh like me again, she laughs like you <br> I wouldn't know where to start <br> Sweet music playin' in the dark <br> Be still my foolish heart <br> Don't ruin this on me <br> I wouldn't know where to start <br> Sweet music playin' in the dark <br> Be still my foolish heart  <br>  <br>  <br>  <br> Don't ruin this on me <br> I wouldn't know where <br> I wouldn't know where <br> I wouldn't know where, I wouldn't know where <br> I wouldn't <br> I wouldn't know where <br> I wouldn't know where <br> I wouldn't know where, I wouldn't know where <br> I wouldn't know <br> The very thought of you and am I blue <br> A love supreme seems far removed <br> I get along without you very well some other nights <br> Oh the radio newsreader chimes <br> Reporting Russian lullabies <br> She'll turn to me, awake, and ask, 'Is everything alright?' <br> And, Lord, I wouldn't know where to start <br> Sweet music playin' in the dark <br> Be still my foolish heart <br> Don't ruin this on me <br> I wouldn't know where to start (I wouldn't know where) <br> Sweet music playin' in the dark (I wouldn't know where) <br> Be still my foolish heart <br> Don't ruin this on me <br> I wouldn't know where to start (I wouldn't know where) <br> Sweet music playin' in the dark (I wouldn't know where) <br> Be still my foolish heart <br> Don't ruin this on me <br> I wouldn't know where to start (I wouldn't know where) <br> Sweet music playin' in the dark (I wouldn't know where) <br> Be still my foolish heart <br> Don't ruin this on me"
Alright*,
Angel Of Small d**h & The Codeine Scene,"I watch the work of my kin bold and boyful <br> Toying somewhere between love and abuse <br> Calling to join them the wretched and joyful <br> Shaking the wings of their terrible youths <br> Freshly dissolved in some frozen devotion <br> No more alone or myself could I be <br> Looks like a strain to the arms it were open <br> No shortage of sordid, no protest from me <br> [Chorus] <br> With her sweetened breath, and her tongue so mean <br> She's the angel of small d**h and the codeine scene <br> With her straw-blonde hair, her arms hard and lean  <br>  <br>  <br>  <br> She's the angel of small d**h and the codeine scene <br> Feeling more human and hooked on her flesh I <br> Lay my heart down with the rest at her feet <br> Fresh from the fields, all feeder and fur tires <br> Bloody and raw, but I swear it is sweet <br> [Chorus] <br> And lease this confusion, I'll wander the concrete <br> Wonder if better now having survived <br> Jarring of judgement and reasons defeat <br> The sweet heat of her breath in my mouth I'm alive <br> [Chorus]"
Arsonist's Lullaby,"[humming] <br> When I was a child, I heard voices... <br> Some would sing and some would scream <br> You soon find you have few choices.. <br> I learned the voices died with me <br> When I was a child I'd sit for hours <br> Staring into open flames <br> Something in it - had a power, <br> Could barely tear my eyes away <br> All you have is your fire... <br> And the place you need to reach - <br> Don't you ever, tame your demons <br> But always keep them on a leash <br> [humming] <br> When I was 16 my senses fooled me <br> Thought gasoline was on my clothes  <br>  <br>  <br>  <br> I knew that something would always rule me... <br> I knew this sin was mine alone <br> All you have is your fire <br> And the place you need to reach <br> Don't you ever, tame your demons - <br> Always keep them on a leash <br> When I was a man I thought it ended <br> Well I knew loves perfect ache <br> But my peace has always depended <br> On all the ashes in my way <br> All you have is your fire, <br> And the place you need to reach <br> Don't you ever, tame your demons, <br> Always keep them on a leash..."
As It Was,"There is a roadway <br> Muddy and foxgloved <br> Whenever I'd had life enough <br> My heart is screaming of <br> And in a few days <br> I will be there, love <br> Whatever here that's left of me <br> Is yours just as it was <br> Just as it was, baby <br> Before the otherness came <br> And I knew its name <br> The drug, the dark, <br> The light, the flame <br> The highs hit the heights of my baby <br> And its hold had the fight of my baby <br> And the lights were as bright as my baby <br> But your love was unmoved <br> Tell me if somehow <br> Some of it remains <br> How long you would wait for me <br> How long I've been away  <br>  <br>  <br>  <br> The shape that I'm in now <br> Your shape in the doorway <br> Make your good love known to me <br> Or just tell me about your day <br> Just as it was, baby <br> Before the otherness came <br> And I knew its name <br> The drug, the dark, <br> The light, the shame <br> The highs hit the heights of my baby <br> And its hold had the fight of my baby <br> And the lights were as bright as my baby <br> But your love was unmoved <br> And the sights were as stark as my baby <br> And the cold cut as sharp as my baby <br> And the nights were as dark as my baby <br> Half as beautiful too"
Be,"When all the worst we fear lets fall its weight <br> When the gyre widens on and when the wave breaks <br> When St. Peter loses cool and bars the Gates <br> When Atlas acts the maggot, makes his arms shake <br> When the birds are heard again in their singing <br> Once atrocity is hoarse from voicing shame <br> When the earth is trembling on some new beginning <br> With the same sweet shock of when Adam first came <br> Be, be, be, be, be <br> Be as you've always been <br> Be, be, be, be, be <br> Be as you've always been (lover, be good to me) <br> Be as you've always been (lover, be good to me) <br> Be like the love that discovered sin (lover, be good to me) <br> That freed the first man and will do so again <br> And lover, be good to me (lover, be good to me) <br> Be the hopeful feeling when Eden was lost (lover, be good to me) <br> That's been deaf to our laughter since the master was crossed (lover, be good to me) <br> Which side of the wall really suffers that cost <br> Oh lover, be good to me <br> When the man who gives the order <br> Is born next time around on the boat sent back <br> When the bodies starving at the border <br> Are on TV giving people the sack  <br>  <br>  <br>  <br> Oh, when the sea rises to meet us <br> Oh when there's nothing left for you and I to do <br> Oh when there's nobody upstairs to receive us <br> When I have no kind words left, love for you now <br> Be, be, be, be, be <br> Be as you've always been <br> Be, be, be, be, be <br> Be as you've always been (lover, be good to me) <br> Be love in its disrepute (lover, be good to me) <br> That scorches the hillside and salts every root (lover, be good to me) <br> And watches the slowing and starving of troops <br> And lover, be good to me (lover, be good to me) <br> Be there and just as you stand (lover, be good to me) <br> Or be like the rose that you hold in your hand (lover, be good to me) <br> That will grow bold in a barren and desolate land <br> And lover, be good to me (lover, be good to me) <br> Love won't you be <br> Love won't you be <br> Be as you've always been? <br> Love won't you be <br> Love won't you be <br> Be as you've always been? <br> Love won't you be <br> Love won't you be <br> Be as you've always been? <br> Love won't you be <br> Love won't you be <br> Be as you've always been? <br> (Lover, be good to me)"
Better Love,"I once kneeled in shaking thrill <br> I chase the memory of it still, of every chill <br> Chided by that silence of a hush sublime <br> Blind to the purpose of the brute divine <br> But you were mine <br> Staring in the blackness at some distant star <br> The thrill of knowing how alone we are, unknown we are <br> To the wild and to the both of us <br> I confessed the longing I was dreaming of <br> Some better love, but there's no better love <br> Beckons above me and there's no better love <br> That ever has loved me, there's no better love <br> Darling, feel better love <br> Feel better love <br> And I've never loved a darker blue <br> Than the darkness I have known in you, own from you <br> You, whose heart would sing of anarchy <br> You would laugh at meanings, guarantees, so beautifully <br> When our truth is burned from history <br> By those who figured justice in fond memory, witness me  <br>  <br>  <br>  <br> Like fire weeping from a cedar tree <br> Know that my love would burn with me <br> We'll live eternally <br> 'Cause there's no better love <br> That beckons above me, there's no better love <br> That ever has loved me, there's no better love <br> So darling, feel better love <br> 'Cause there's no better love <br> That's laid beside me, there's no better love <br> That justifies me, there's no better love <br> So darling, darling, feel better love <br> Feel better love <br> Feel better love <br> Feel better love <br> Feel better love <br> 'Cause there's no better love <br> That beckons above me, there's no better love <br> That ever has loved me, there's no better love <br> So darling, feel better love <br> 'Cause there's no better love <br> That's laid beside me, there's no better love <br> That justifies me, there's no better love <br> So darling, feel better love <br> Feel better love"
Blood,"Tryin' hard to recognise <br> Some pure motive inside of me <br> A creature that would horrify <br> Any child that I used to be <br> Oh, give no faith to show <br> Started to smile so I showed my teeth <br> No more than flesh and bone <br> Doin' so much just to watch someone bleed <br> But I love the very blood of you <br> It keeps its heat in spite of you <br> Oh, the heart that beats <br> To keep you here with me always <br> Tryin' hard, I nearly find <br> Innocence in spite of me <br> Oh, creature that would terrify <br> Any child left inside of me <br> Oh, that's a cold insight  <br>  <br>  <br>  <br> Nothin' above us and nothin' below <br> Ahh, but you might be right <br> If there is no heaven and there is no soul <br> I just love the very blood of you <br> It keeps its heat in spite of you <br> Oh, the heart that beats <br> To keep you here with me always <br> Always, always, always <br> Oh, I love the very blood of you <br> It keeps its heat in spite of you <br> Oh, the heart that beats <br> To keep you here with me always <br> Oh, I love the very blood of you <br> Leaks and squeeks you black and blue <br> Oh, the heart that beats <br> To keep you here with me always"
Cherry Wine,"Her eyes and words are so icy <br> Oh but she burns <br> Like rum on the fire <br> Hot and fast and angry <br> As she can be <br> I walk my days on a wire <br> It looks ugly, but it's clean <br> Oh momma, don't fuss over me <br> [Chorus] <br> The way she tells me I'm hers and she is mine <br> Open hand or closed fist would be fine <br> The blood is rare and sweet as cherry wine <br> Calls of guilty fall on me <br> All while she stains <br> The sheets of some other <br> sponsored links  <br>  <br>  <br>  <br> Thrown at me so powerfully <br> Just like she throws with the arm of her brother <br> But I want it, it's a crime <br> That she's not around most of the time <br> [Chorus] <br> Her fight and fury is fiery <br> Oh but she loves <br> Like sleep the the freezing <br> Sweet and right and merciful <br> I'm all but washed <br> In the tide of her breathing <br> And it's worth it, it's divine <br> And I can have this some of the time <br> [Chorus]"
Dinner & Diatribes,"Honey this club here is stuck up <br> Dinner and Diatribes <br> I knew well from our first hookup <br> The look of mischief in your eye <br> Your friends are a fate that befell me <br> Hell is the talking type <br> I'd suffer hell if you'd tell me <br> What you'd do to me tonight <br> Tell me <br> Tell me <br> Tell me <br> That's the kinda love <br> I've been dreaming of <br> That's the kinda love <br> I've been dreaming of <br> Honey I laugh when it sinks in <br> The pillar I am, upright <br> Scarcely can speak for my thinking what <br> You'd do to me tonight <br> Now that the evening is slowing <br> Now that the end's in sight  <br>  <br>  <br>  <br> Honey, it's easier knowing what <br> You'd do to me tonight <br> Tell me <br> Tell me <br> Tell your man <br> That's the kinda love <br> I've been dreaming of <br> That's the kinda love <br> I've been dreaming of <br> That's the kinda love <br> That's the kinda love <br> That's the kinda love <br> That's the kinda love... <br> Ohhhh <br> Let there be hotel complaints and grievances raised <br> And that kind of love <br> Ohhhh <br> Let there be damage ensued and tabloid news <br> And that kind of love <br> That's the kinda love <br> I've been dreaming of <br> That's the kinda love <br> I've been dreaming of"
