Song Title,Lyrics
18,"Part I <br> [Verse 1: Kris Wu] <br> Yah yah yah yah yah <br> When I jump into the temple <br> Like I'm running the game <br> Don't you f** with my fame <br> Light it up, spark it up burn it into flames <br> I'm the one and only motherf**er from the East <br> All them b**hes lining up to... <br> Getting in my zone <br> I do this sh** alone <br> I'm the Yeezus from the East <br> You need to Watch the Throne <br> [Chorus] <br> All this ice be on me but I still be rising <br> I'll be on your levels but I still riding <br> Say that I be falling but they see me flying <br> When you peep me, I'm at the top <br> Ay, turn up, turn up <br> Oh now, the tides are turning <br> I ain't never ever doubt what I've been [?] <br> All this ice be on me <br> But I still be risin' <br> Say that I be fallin' <br> But they see me flying <br> [Verse 2: Rich Brian] <br> Tell your chick I like her <br> Take her home I like her <br> And I'm always stacking paper, but my name ain't Michael <br> Got a crib in Indo, it's tall just like the Eiffel <br> I can't get her number if I put it on my right, yuh <br> God damn legit, told me that she liked my fit <br> When I take her out to dinner, man, the check ain't gettin' split <br> Don't look like I'm getting thinner with the chickens and the ribs <br> Man, your b**h is what I say <br> One day, [?] Got the kicks <br> Don't say my name, I never wanna breathe your air <br> Coke and Kool-Aid, there's just some sh** you don't compare <br> I got a [?] and I just saw my old girl there <br> She was my ex babe, but now I really just don't care <br> Im so tired, but my mind is racin' <br> f** with me and see what kinda problems you'll be facin' <br> Friday 13th I make you look like you're my Jason <br> Like a damn [?] Poppin, just what I've been craving  <br>  <br>  <br>  <br> [Chorus] <br> All this ice be on me but I still be rising <br> I'll be on your levels but I still riding <br> Say that I be falling but they see me flying <br> When you peep me, I'm at the top <br> Ay, turn up, turn up <br> Oh now, the tides are turning <br> I ain't never ever doubt what I've been [?] <br> All this ice be on me <br> But I still be risin' <br> Say that I be fallin' <br> But they see me flying <br> Part II <br> [Intro: Joji] <br> They said that I won't make it <br> They said that I won't change <br> They say that I'm not flexing <br> Now they say wow, you've changed <br> Now they say wow you changed <br> Now they say wow you changing <br> Yeah, they ask why you change <br> When the rest ain't looking like me <br> [Verse 3: Trippie Redd] <br> No way, no way, stay the same <br> Got that purple in my vein <br> In that heart to feel that pain <br> While I'm rocking Saint Lorraine <br> Purple body like a saint <br> Big Body would you like a [?] <br> I'm just swerving smoking on some dank <br> I'm just trying to f**ing ease the pain <br> ‘Fore I blow my mind like Kurt Cobain <br> No taste <br> No change <br> No change <br> And I promise I won't change <br> And I promise I'm the same <br> Trippie Redd, you know my name <br> b**h, they say that I'm insane <br> I might blow your f**ing brain <br> [?] <br> Feels like I'm falling off a plane <br> [?] <br> And spitting all these flames <br> [?] <br> [Outro: Joji] <br> They said that I won't make it <br> They said that I won't change <br> They say that I'm not flexing <br> Now they say wow, you've changed <br> Now they say wow you changed <br> Now they say wow you changing <br> Yeah, they ask why you change <br> When the rest ain't looking like me"
ATTENTION*,
Bitter f**,"[Verse 1] <br> I find it hard to be myself <br> I shed my skin for everybody else <br> You don’t know me, what the f** you mean? <br> You made me sad and you made me mean <br> And now I’m mad I feel unclean <br> (I feel unclean, I feel unclean) <br> ‘Cause I’m a bitter f** <br> I’m a bitter f** <br> You made me a bitter f** <br> (Ay, ay) <br> [Chorus] <br> Now I’m a bitter f** <br> They call me a bitter f** <br> Because of you <br> Because of you <br> They call me a bitter f** <br> They call me a bitter f** <br> Because of you <br> Because of you <br> [Verse 2] <br> Your b**h is lame don’t follow me <br> Your b**h just came all over me <br> I don’t wanna live in my skin no more  <br>  <br>  <br>  <br> I won’t f** with you if you don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> Don’t f** with me <br> [Chorus] <br> Now I’m a bitter f** <br> They call me a bitter f** <br> Because of you <br> Because of you <br> They call me a bitter f** <br> They call me a bitter f** <br> Because of you <br> Because of you <br> [Outro] <br> Now I don’t give a f** <br> Now I don’t give a f** <br> Because of you <br> Because of you <br> Yeah I don’t give a f** <br> Yeah I don’t give a f** <br> Because of you <br> Because of you"
CAN'T GET OVER YOU,"[Chorus] <br> I can't get over you <br> Can't get over you <br> And before I die I pray that <br> I could be the one <br> That I could be the one <br> But I won't be no fun <br> If I can't have you no one can <br> [Verse] <br> Balance in the limelight <br> Can you show me <br> To the day life <br> Baby I like more curves like <br> But I want you, and alright (you're alright) <br> Tell me more I got a box cutter with your name on it  <br>  <br>  <br>  <br> Tell me more I can't stay this long on the same topic <br> Don't know you know'd I fall in love with you <br> I don't have no social cues <br> I'm all for you <br> Ay (ha, ha, ha) <br> [Chorus] <br> I can't get over you (yeah, ooo) <br> Can't get over you (yeah, ooo) <br> And before I die I pray that <br> I could be the one <br> That I could be the one <br> But I won't be no fun <br> If I can't have you no one can"
Cocaine,"[Pre-Verse] <br> I line up, inhale spit <br> I love that white sh** <br> Even more after every single hit <br> No regrets, not even one bit <br> [Verse 1] <br> Realization of super energized thought <br> What's in this c**aine that I just bought <br> I'm on a whole 'nother god damn level <br> I hear these b**hes mad, build my own god damn temple <br> Nah, f** that, build several <br> Build my ego til I look f**ing mental <br> Motherf**er, I'm fine if you don't pay me <br> Girl you like? I'll f** her til the gay sings <br> I'm completely bind to this code, I'm not f**ing lazy <br> Hard in from behind like I'm pacing <br> I have girls on the side, call me Tiger Woods <br> All your texts are lies, acting like you own the hoods <br> Fake Gucci you gotta hide, you stole the goods <br> Retard, you need to die, fake like Hollywood <br> [Verse 2] <br> Pot smoking motherf**er, like Michael Phelps <br> Cough choking, fat blubber, you need some help? <br> Annoyance provoking, vein cuter, just go to hell <br> You think I'm joking? Did I stutter? You can't even get your dick felt <br> My body count higher than some of these dudes' IQ's <br> My ecclesiastical attire is used by my air crew <br> My decisions prior are the only things that flew  <br>  <br>  <br>  <br> Now there is only a choir singing about my real crew <br> I am the Apex Predator of the male hierarchy scale <br> They're busy chasing the tail that I made wail <br> Like a train off the rail, quicker than Gareth Bale <br> Guess y'all failed, cause this boat sailed <br> Let me leave you be, there's no need to worry <br> Not much time, you might need to hurry <br> Oh boy, can't you see? You need to scurry <br> The only thing you hit are 3's, call you Steph Curry <br> [Verse 3] <br> Plans on plans on plans <br> Oh man, I got this sh** exploding like Pakistan <br> Runnin' the track like a Mexican <br> God damn <br> We up in this sh**, like a fat a** asian boy <br> Packed up like we about to take down Troy <br> Call me part ""what?"" call me School Boy <br> I'm crashing this sh**, cause its about to be destroyed <br> 8 Ball gone in less than one week <br> Makes me feel f**ing elite <br> Aggressive behavior caused by high testosterone <br> Inflamed throat and lungs makes my voice monotone <br> A lot of lines <br> A nose like vacuum <br> Turn up the music to f**ing distract you <br> No need for H like Frank Lucas <br> Just imagine all that value"
COME THRU,"[Intro] <br> Yeah <br> Yeah yeah yeah <br> Yeah yeah yeah yeah <br> [Chorus] <br> Won't you come through? I don't know me <br> You could walk right through, yeah <br> There's nothing like me, yeah <br> No caller ID, no <br> You were really like me, you know <br> You don't really like me, woa <br> Yeah, you're better by default <br> [Verse 1] <br> Ooh, say you're alright <br> Say you're okay <br> Am I too much? <br> I can't tell no more <br> I keep my thoughts indoors <br> No, I don't wanna wait <br> I wanna let you know <br> We don't gotta wait, no more <br> So, babe, I wanna test my faith <br> Can you shout up, in my line up like it was yesterday <br> All by myself, can't share my wealth  <br>  <br>  <br>  <br> You know what I mean so very well <br> When I say ""I need you now"" <br> Will you listen? (Dont you know who?) <br> [Bridge] <br> Won't you come through? I don't know me <br> You could walk right through <br> There's nothing like me, yeah <br> Wrong caller ID, yeah <br> You're really like me, you know <br> You don't like me, woa <br> Yeah, you're better by default <br> [Chorus] <br> Won't you come through? I don't know me <br> You could walk right through, yeah <br> There's nothing like me, yeah <br> No caller ID, no <br> You were really like me, you know <br> Yeah, you don't really like me, woa <br> Yeah, you're better by default"
Demons,"[Intro] <br> They’re taking my heart now <br> They’re taking my heart now and I don’t know why <br> And I don’t know why <br> [Verse] <br> Alright, alright, alright, alright, alright, alright, alright <br> The demons told me everything <br> They whisper in the night <br> (Hey, hey) <br> [Chorus] <br> This is not a threat, I promise (nope) <br> I promise <br> This is not a threat, I promise <br> It’s a warning baby <br> I just want you to know <br> That’s when the ceiling caved in <br> And I’m fallin’ in a trench, I’m behaving  <br>  <br>  <br>  <br> I’m behaving myself <br> I’m behaving myself <br> [Verse] <br> We don’t gotta die so soon <br> So I just behave for you (for you, for you) <br> We don’t gotta die so soon <br> So I just behave for– <br> (Shh, quiet) <br> [Chorus] <br> This is not a threat, I promise (nope) <br> I promise <br> This is not a threat, I promise <br> It’s a warning baby <br> I just want you to know <br> [Outro] <br> Please just let me go <br> Let me go <br> I’ve seen enough <br> I’ve seen enough <br> I’ve seen enough"
Demons (Lunice Remix),"[Intro](x3) <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> (Ay, ay, ay) <br> [Verse 1] <br> They're taking my heart, now <br> This is not a threat <br> [Intro](x3) <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> (I promise, I promise, I promise, I promise)  <br>  <br>  <br>  <br> [Verse 1] <br> They're taking my heart, now <br> This is not a threat <br> [Intro](x3) <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> Yuh, got 'em <br> Sex, running <br> f**, got 'em <br> Look, spotted <br> It's a warning baby I just want you to <br> [Outro] <br> Please, just let me <br> Please, just let me <br> This is not a threat, I promise <br> It's a warning baby I just want you to know"
Don't You Know Who / Wrong Caller ID,"[Intro] <br> Yeah <br> Yeah yeah yeah <br> Yeah yeah yeah yeah <br> [Chorus] <br> Don't you know who? I don't know me <br> You've already proved <br> That it was looking like me <br> No caller ID, no <br> You were really like me, you know <br> Yeah, you don't really like me, you know <br> Yeah, I'm better, by default <br> [Verse 1] <br> Ooh, say you're alright <br> Say you're okay <br> Am I too much? <br> I can't tell no more <br> I keep on thoughts and words <br> No, I don't wanna wait <br> I wanted you to know <br> I don't wanna wait, no more <br> So, babe, I wanna touch my face <br> Can you shout up, in my line up like it was yesterday <br> All alone, myself, kept saying I'm well  <br>  <br>  <br>  <br> I know I need to know where you are <br> Well you say I need you now <br> Will you listen there is no proof <br> [Bridge] <br> I don't know me <br> You would walk right through <br> Yeah it was looking like me, yeah <br> Wrong caller ID, yeah <br> You're really like me, you know <br> Yeah, you're really like me, you know <br> Yeah I'm better by default <br> [Chorus] <br> Don't you know who? I don't know me <br> You've already proved <br> That it was looking like me <br> Yeah no caller ID, no <br> You're really like me, you know <br> You don't really like me, you know <br> Yeah I'm better by default"
Emdbt,"[Verse 1] <br> Glossy finish across the dark sky <br> Glistening and bliss feeling oh so high <br> Silence is booming with the echos of sighs <br> Momentum moved as slow pa** by <br> Pa**ive aggressive uncertainty facing <br> Misplaced mind always seemingly racing <br> Connections consistently chasing <br> Consequences from the casings <br> Widowed land through the greenville thoughts <br> Always seemingly uncontrolled and lost <br> Similar to being covered in frost <br> Lungs feel tied in uncertain's knot <br> [Verse 2] <br> Ideas misplaced in words spoken <br> Situations of feeling broken <br> Mainly due to not being chosen <br> But, it still remains open <br> Evading locations in a George Strait manner <br> What options would you f**in' rather <br> In these situations, could you gather <br> In the end, does it even truly matter <br> [Verse 3] <br> The vision set over the sunset <br> I'm only wishing that you would let <br> Without the need of blood and sweat <br> Only tearing up into emotional debt <br> Infatuated with your appearance, physical and soul <br> Henceforth my attitude being so damned bold <br> Realizing you'd be only thing I'd love to hold <br> Through rain, heat, and anything feeling cold <br> [Verse 4] <br> Fears of insignificance like a Lovecraft novel <br> With the sensation of something awful <br> As attempts brings one to grovel <br> The behavior lacks, had I not been thoughtful  <br>  <br>  <br>  <br> Attempts at communication at all hours <br> Oh, won't you just try to cower <br> Prologue always something containing louder <br> I attempt to fix it as I fix up more powder <br> [Verse 5] <br> Insecurities brought up through simple indirects <br> My lack of knowledge on romance is sudden into effect <br> Constantly just receiving empathetic checks <br> Yet, it seems to be impossible to move onto the next <br> Limited quantity of knowledge of our state <br> My stress reliever is one of the things you hate <br> Remain and contain the weight <br> At this point, I'm begging you to runaway <br> Begging for answers and getting more questions <br> Every single time as the moment builds up the tension <br> It only makes me ask myself, ""What's the obsession?"" <br> I wish I could just start a recession <br> Always seeming to find something wrong <br> Always ending up turning it into a song <br> Trying to be confident to come out strong <br> I hear the echoes as the mountains throng <br> [Verse 6] <br> It's as if like my words are beginning to drown out <br> Due to every single piece I found out <br> And even though I keep on the shout out <br> It keeps going allowed out <br> I'm not sure what this is the beginning to <br> I'm uncertain if you're unwilling to <br> You always acted like a dismissive view <br> I'm still sleepless missing you"
