Song Title,Lyrics
"""Alright"" Video Breakdown","I remembered you was conflicted <br> Misusing your influence, sometimes I did the same <br> Abusing my power full of resentment <br> Resentment that turned into a deep depression <br> Found myself screamin' in the hotel room <br> Lucifer was all around me, so I kept running <br> Till I found my safe haven <br> I was trying to convince myself the stripes I got <br> Making myself realize what my foundation was <br> But while my loved ones was fighting the continuous war back in the city, I was entering a new one <br> A war that was based on apartheid and discrimination [Intro] Ay, on my momma n***a, I'mma be the greatest to ever do this sh** <br> On my momma though, like, on the dead homies  <br>  <br>  <br>  <br> Ay, Sounwave, turn this sh** up, n***a, turn this sh** up <br> Sounwave, turn this sh** up, n***a <br> Tell me who the b**h n***a hatin' on me <br> Jumpin' on my dick, but this dick ain't free <br> To Pimp a bu*terfly another cla**ic CD <br> A ghetto lullaby for every one-day emcee <br> n***a, now RIP you <br> My diligence is only meant to write your eulogy I remembered you was conflicted <br> Misusing your influence, sometimes I did the same <br> Abusing my power full of resentment <br> Resentment that turned into a deep depression <br> Found myself screamin' in the hotel room <br> I didn't wanna self-destruct <br> The evils of Lucy was all around me <br> So I went runnin' for answers"
"""i"" (Live Performance on SNL)","[Introduction: Woody Harrelson] <br> Ladies and gentlemen! My man, Kendrick Lamar! <br> [Kendrick & Background Vocalists] <br> [?] <br> Thuggin' in the trap <br> Livin' in a groove <br> Watchin' TV <br> [Kendrick] <br> Dedicated to the homies in the pen', hit me! <br> [Intro] <br> I done been through a whole lot <br> Trial, tribulation, but I know God <br> The Devil wanna put me in a bow tie <br> Pray that the holy water don't go dry <br> As I look around me <br> So many motherf**ers wanna down me <br> But an enemigo never drown me <br> In front of a dirty double-mirror they found me <br> [Hook] <br> (I love myself) <br> When you lookin' at me, ahh, tell me what do you see? <br> (I love myself) <br> I put a bullet in the back of the back of the head of the police <br> (I love myself) <br> Illuminated by the hand of God, boy don't be shy <br> (I love myself) <br> One day at a time, uhh <br> [Verse 1] <br> Everybody lookin' at you crazy (Crazy) <br> What you gon' do? (What you gon' do?) <br> Lift up your head and keep moving (Keep moving) <br> Or let the paranoia haunt you? (Haunt you) <br> Peace to fashion police, I wear my heart <br> On my sleeve, let the runway start <br> You know the miserable do love company <br> What do you want from me and my scars? <br> Everybody lack confidence, everybody lack confidence <br> How many times my potential was anonymous? <br> How many times the city making me promises? <br> So I promise this, huh <br> [Hook] <br> [Verse 2] <br> And when they say it's a war outside, bomb in the street <br> Gun in the hood, mob of police <br> Rock on the corner with a line full of fiend <br> And a bottle full of lean and a model on a scheme yup <br> These days of frustration keep y'all on tuck and rotation <br> (Ah man) <br> I duck these cold faces, post up fi-fie-fo-fum basis <br> Dreams of reality's peace <br> Blow steam in the face of the beast <br> Sky could fall down, the wind could cry now <br> The strong in me, I still smile <br> [Hook] <br> [Interlude] <br> Oh man, hey check this out this a real Compton thing goin' on right now. Ya feel what I'm talkin' bout? Ya dig that? Sometimes I just feel a little bit besides myself you know what I'm talkin' bout. This here the return of Enoch and we gonna do it to you like this <br> [Bridge] <br> Walk my bare feet (Walk my bare feet) <br> Down, down valley deep (Down, down valley deep) <br> Fi-fie-fo-fum (Fi-fie-fo-fum) <br> My heart undone (My heart undone)  <br>  <br>  <br>  <br> [Original Hook] <br> And I love myself <br> (The world is a ghetto with big guns and picket signs) <br> I love myself <br> (But it can do what it want whenever it want, I don't mind) <br> I love myself <br> (He said I gotta get up, life is more than suicide) <br> I love myself <br> (One day at a time, sun gon' shine) <br> [Verse 3] <br> I went to war last night <br> With an automatic weapon, don't nobody call a medic <br> I'ma do it till I get it right <br> War last night <br> I've been dealing with depression, duckin' every other blessin' <br> I can never see the message <br> I could never take the lead, I could never bob and weave <br> Negative letting them annihilate me <br> Evident I'm moving at a meteor speed <br> Finna run into a building, lay my <br> Money in the ceiling lay my body in the street <br> Keep my money in the ceiling, let my mama know I'm free <br> Give my story to the children and a lesson they can read <br> And the glory to the feeling of the holy unseen <br> Seen enough, make a motherf**er scream, ""I love myself!"" <br> [Original Outro] <br> I lost my head <br> I must've misread what the good book said <br> Oh woes keep me, it's a jungle inside <br> Give myself again 'til the well runs dry <br> [Interlude] <br> YG, CHICKEN WINGS! <br> Ah man, aye, aye homie I told you its a straight up Compton thing ya dig what I'm talkin' bout? And this here is dedicated to the homies. Y'all feel what I'm saying? And sometimes I just get besides myself. The return of the Enoch is back, you hear what I'm talkin' bout? <br> [Verse 4] <br> I've been lookin' for you my whole life, appetite <br> For this feeling I can barely describe, where you reside? <br> In a woman, is it in money, or mankind? <br> Something got me losing my mind <br> Where you at? From the front to the back <br> I'm lookin' for you, I react only when you react <br> I thought I found you back in the ghetto <br> When I was 17 with the .38 Special <br> Maybe you're in a dollar bill, maybe you're not real <br> Maybe only the wealthy get to know how you feel <br> Maybe I'm paranoid, ha, maybe I don't need you anyway <br> Don't lie to me, I'm suicidal anyday <br> I could be your advocate <br> I could speak for you if you tell me what the matter is <br> I could preach for you with the mighty tongue <br> I'm the one, how can I, overcome <br> Negative energy while I give infinitely and survive?!"
"""i"" merchandise",i Snapback: i T-Shirt:
"""Sing About Me"" Part 1 Video","[Intro: On Screen] <br> When the lights shut off, an artist's dream is that their work will stand the test of time. The ones that influence our culture are the ones we most remember. Here, two powerful creative forces come together to elevate the status quo and lay ground to their legacy. This is their poetry. Sing about them. This is part one  <br>  <br>  <br>  <br> ""Sing About Me"" plays <br> [Mural: Eddie Peake]"
07 | levitate,"Verse 1] <br> Love won't get you high as this <br> Drugs won't get you high as this <br> Fame won't get you high as this <br> Chains won't get you high as this <br> Juice won't get you high as this <br> Crew won't get you high as this <br> Hate won't get you high as this <br> Levitate, levitate, levitate, levitate <br> Love won't get you high as this <br> Drugs won't get you high as this <br> Fame won't get you high as this <br> Chains won't get you high as this <br> Juice won't get you high as this <br> Levitate, levitate, levitate, levitate <br> [Verse 2] <br> Life won't get you high like this here, no <br> He won't get you high like this here, no <br> She won't get you high like this here, no <br> ""For Free?"" won't get you high like this here, no <br> Two keys won't get you high, no, no, no <br> Bentleys won't get you high, like, no <br> Levitate, levitate, levitate, levitate <br> Life won't get you high, no, no, no <br> He won't get you high, no, no, no <br> She won't get you high, no, no, no <br> ""For Free?"" won't get you high, no, no, no <br> Two keys won't get you high, no, no, no <br> Bentleys won't get you high, no, no, no <br> Bars won't get you high, no, no, no <br> Levitate, levitate, levitate, levitate <br> [Verse 3] <br> Shut your fu*kin' mouth and get some cash, you b*tch, you  <br>  <br>  <br>  <br> You be in your feelings, I be in my bag, you b*tch, you <br> Santa's reindeer better have some ass, you b*tch, you <br> Everything I'm working, gotta be the gas, you b*tch, you <br> (Don't fu*k around, don't fu*k around, don't fu*k around, don't fu*k a...) <br> Shut your fu*kin' mouth and get some cash, you b*tch <br> You be in your feelings, I be in my bag, you b*tch <br> Santa's reindeer better have some ass, you b*tch <br> Everything I'm working, gotta be the <br> Levitate, levitate, levitate, levitate <br> [Verse 4] <br> Me don't want problems (Me don't want problems) <br> Me don't want tricks (Me don't want tricks) <br> Me do want dollars (Me do want dollars) <br> Me want it big (Me do want dollars) <br> Me don't want problems (We ride Impalas) <br> Me don't want tricks (Me don't want tricks) <br> Me do want dollars (Me don't want tricks) <br> Levitate, levitate, levitate, levitate <br> We don't want problems (We don't want problems) <br> We don't want tricks (We don't want tricks) <br> We do want dollars (We do want dollars) <br> We do it big (We don't want problems) <br> We do it big (We don't want problems) <br> We do it big (We don't want tricks) <br> We don't want problems (We don't want problems) <br> Levitate, levitate, levitate, levitate"
1 Train,"[Produced by Hit-Boy] <br> [Verse 1: A$AP Rocky] <br> Feeling like a vigilante or a missionary <br> Tell my A$AP k**ers get they pistols ready <br> Send 'em to the cemetary with obituaries <br> Don't be scared, n***a, is you ready? <br> I've been thinking 'bout all the O's in my bank account (What?) <br> X the hoes in my bed is 'round the same amount (What?) <br> Ever since this new star fame came about <br> Or ever since me and Drizzy started hangin' out <br> Young boy, let his gun bang, let his nuts hang <br> Transition to a Lamborghini from a Mustang <br> Drugs slang in the drug game with the hustling <br> (I know one thing) Anything is better than that 1 Train <br> Bag made of Goyard, cheffin' like I'm Boyar- <br> Dee, probably selling D in your local courtyard <br> Braids like I'm O-Dog, my la familia go hard <br> Down to my inlaws, they outlaws with no laws <br> [Verse 2: Kendrick Lamar] <br> We outlawed then I bogart, any pros that got 'proached at <br> With a toe-tag, get broke off, in the projects with a skateboard <br> I roll past and I blaze y'all like, ""DOO DOO!"" I hate y'all <br> When the beef cooked, I ate y'all like, ""Mmm mmm,"" <br> Let's play ball in a ballpark with all sharks and a blindfold <br> I rhyme cold, my K hot, your 9 cold, that bark like K9's on <br> That banana clip, straight from the rip <br> I'll make that shirt say RIP, I'm on some sh** <br> If I'm not the hottest then Hell must've froze over <br> You thought it was safe then forgot what the code was <br> I carry traits of a traumatized soldier <br> Don't look in my face, I might snap, I might choke ya <br> Spine right out of place, give me dap like you 'posed ta <br> Darts at your posters, dark nights like this <br> I metamorph like I'm 'posed ta, I might slice my wrist <br> Or pretend like a vulture and drop off this cliff <br> [Verse 3: Joey Bada$$] <br> Barely even conscious, talking to my conscience <br> Gettin' deeper in these flows like conches <br> I'm on my convict, don't drop bars, I drop prisons <br> Don't sell rocks, seen the spectrum through the prisms <br> Somehow bypa**ed the bias and the -isms <br> The violence and the k**in', so given <br> They seen my pigment and thought that was the ign'ance <br> Unfortunately I am not that type of niglet <br> But pa** the pot, let me sk**et <br> Just got back to the block from a 6 o'clock with Jigga <br> And I'm thinkin' 'bout signin' to the Roc <br> But my n***as on the block still a**igned to the rocks <br> And I swear it hurt me soul <br> I try to prevail, but when I preach it only hurt their sales <br> Like you're only gon' end up either dead or in jail <br> But you my n***a, wish you the best for real <br> [Verse 4: Yelawolf] <br> When you mention my name amongst other white rappers <br> Or for that matter, any f**in' rapper, f** it <br> Painter, skater, musician, trailer park dirt ditch diggin' <br> Burger flippin', eat, sleep, sh**tin' human bein', you would be in <br> Trouble to body double or couple me to these others <br> Cause comparatively speakin', my reach is beyond the bubble <br> That they put me in, my vision's beyond the Hubble's <br> I huddle with Nubians, new beginning again <br> You in school at 10, late, Radioactive's goin' gold <br> And so? GREAT. Do I give a flying duck <br> If I'm applyin' love to my rhymin' plus alignin' us? <br> Alabama's climbin' up, wait, no I don't give a <br> Flying duck, nothing but a buckshot, Ch, pow! <br> Motherf** your life, p**y blood clot <br> Ain't never been no rapper this cold since 2Pac was froze  <br>  <br>  <br>  <br> And thawed out for a spot date at a Coachella show, Yelawolf <br> [Verse 5: Danny Brown] <br> Weed a different color like a hoodrat bra and panties <br> And my flow be overhead like pots and pans in pantries <br> Antsy cause I'm high like Michael Jackson penny loafers <br> Moonwalkin' on the sun, barefoot, with shades on <br> b**h p**y smell like a penguin <br> Wouldn't hit that sh** with my worst enemy's penis <br> b**h when I say this I mean this: Ho, I'm the meanest <br> Dick so big, stretch from Earth to Venus <br> That molly got me nauseous, aw sh**, no off switch <br> Lawless, obnoxious, on that ""s** my co*k"" sh** <br> That is my synopsis, ostrich posh sh** <br> Hoes on some goth sh**, stop it! You not this! <br> Novice, regardless, heartless and awkward <br> Cryin' tears of vodka prima donna at the concert <br> Adonis smokin' chronic 'bout to vomit gin and tonic <br> Just bein' honest, tell me, isn't that ironic? <br> [Verse 6: Action Bronson] <br> Swiftly, I shift the Bimmer 860 <br> A heavy smoker so you know I brought the Blake with me <br> The moon’s reflection off the lake hit me <br> You should've stayed with me, now many Asian b**hes lay with me <br> The face is silky like a tablecloth <br> My shorty gallop in the morning on the beach like a Chilean horse <br> Red roses dropped from boxes very often <br> Confetti torchin', drinking Henny like I'm Kenny Lofton <br> Outstandin' <br> I fixed the game between Georgia Southern and Gramblin' <br> You see us scrambling, selling Susan Sarandon <br> The cloud of smoke like the phantom <br> Damn this sh** tastes like fantastic <br> You see me comin' through in each state <br> Just so the lord could put the fork inside the cheesecake <br> Cuffed to my wrist, I’ve got the briefcase <br> The gavel slam, I’m a free man, try not to eat ham <br> [Verse 7: Big KRIT] <br> Big KRIT, shawty <br> Spit like my last breath: casket rap, six deep <br> Eyes closed, the black is back, out come the 'Lac with flats <br> After that, bottles I can’t pronounce, like, â€œHow you ask for that?â€ <br> Why you ask for crack and all you had was scratch? <br> All I had was rap, when all they had was wack <br> All I wanted was love, all they had was dap <br> f** them haters and f** them hoes, a championship win is <br> The aftermath, ask LeBron, open palm slap a b**h <br> Walk the plank or break a bank, I’ve been in the business of sinkin' ships <br> Chokin' n***as out with the anchors that they anchor with <br> Resuscitations cost the label, I’m taxing if you want a hit <br> Clear, f** your career, b**h, I was born here <br> Been a k**er, '86er, n***a, that's my born year <br> Get the f** from 'round here, that's just my country ways <br> s**in' on your momma's titty, b**hin' while I was choppin' blade <br> Grippin’ grain, f**in' hoes, candy paint like Everglades <br> Miss me with that rapper chatter, take that sh** up with my ba** <br> I put that on my sub, how could you ever doubt me? <br> Most rappers hoping the world end so they won't have to drop another album <br> B.B. King saw the king in me, so why can't you? <br> In order to come up close, you’ll have to dig up Cash and Elvis, too <br> (That wasn't no sample n***a!) <br> Muddy water flow, Dixie rebel past <br> f** your Louis flag, popping benji tags on your wifey’s a** <br> That’s out of line, but in living color? <br> I’m more like Miya Bailey on you rap motherf**ers, a true artist"
100 Favors,"[Intro: Detail] <br> Swear I be sitting here thinking 'bout the sh** that we've been through <br> And all I know is girl I owe you 100, 100, 100 favors <br> I owe you 100 favors, 100, 100, 100 favors <br> 100 favors <br> [Verse 1: Detail] <br> n***as all talk, it'll never change <br> Keep on choosin do your thang <br> All them favors, I call her like a driver <br> Drowning in that p**y, and I'm a soul survivor <br> Vodka, hunned flavors, GT watermelon <br> She always do me favors, and I don't never tell her <br> GT yellow mango, I love to drink juice <br> Owe her 100 favors, I call her my 100 proof <br> Man I heard about an angel <br> [Hook: Detail] <br> Now I'm sitting here sippin' on the last bit of vodka <br> All I ever see is your face <br> Swear I be sitting here thinking bout the sh** that you've been doing <br> And all I know is girl I'll owe 100, 100, 100 favors <br> I give you 100 favors, 100, 100, 100 favors, yeah <br> And now I'm sitting here sippin' on the last bit of GT <br> And all I ever see is your face 100 favors <br> {*harmonizing*} <br> [Verse 2: Birdman] <br> Shout-out, shout-out, yeah <br> Prices with the life, rollin on them dice <br> Spent a mill on a flight <br> Flew back and she bounced back <br> High speed, all gold <br> Lord of the ring, we live that life big time <br> Big time, 100 times I gave my b**h the sunshine  <br>  <br>  <br>  <br> Harley Davis, Harley Davis <br> Twin cam, I gave my b**h a 100 favors <br> [Hook] <br> [Verse 3: Kendrick Lamar] <br> You was a college student abusing the credit union <br> The music was way too loud, the tuition was f**in stupid <br> And me I was runnin' wild hittin' licks in my mothers' Buick <br> Confusing, you like my style even though I was broke and doing <br> Stick em ups, you wanna pick em up <br> Inside your Civic Plus the difference was <br> I wasn't rich as f** you still would depend on us <br> And I missed the crush that we had every time winter December come <br> And we had tempers and arguments, disagreements and senses from <br> Cupid himself, and I'm shootin' himself <br> And the paramedics won't come even if you scream for help <br> Don't let love die, you regroovin' yourself <br> And I'm losing now too looking at you boo hoo from what's dealt <br> So as I reminisce the coupon that we used to split at Rally's <br> On your mothers couch your little brother in the alley <br> You say K. Dot your page got that pay that Birdman and Jay got <br> One day you'll reap what you sow, now I reap for us both <br> That's one hunnid <br> [Hook] <br> [Outro: DJ Khaled] <br> YMCMB, rich gang <br> Flashy lifestyle <br> May 21st <br> DJ Khaled <br> We the biggest, we the greatest <br> We the business <br> 100"
2012 BET CYPHERS,"[Verse 1: Ab-Soul] <br> I'm decent but I'm despicable, spittin' the inexplicable <br> Pickin' stems out the piccolo, tickle your brain ventricles <br> They finally let the nerd with the swag in <br> I was playin' the background like an adlib <br> But now I'm greedy like a fat kid <br> Old lady don't blow my high <br> Cause my pants hang low and you can't see my eyes <br> I get faded like Smokey but I'm crazy with the motif <br> Eatin' rappers, I need mo' teeth, you think I'm obese <br> Movin' with the movement, you don't need no lease <br> So fly, I don't need no feet, how I run it? <br> Keefin' up, when I'm coolin' with my young'ns <br> You know I keep it 3hunna <br> Can't take it lower, I used to loiter, these days I need a lawyer <br> Call your employer, tell him Soulo on the market <br> I love Indo but Do-Dawg love endorsements <br> I was never into Porches or Polo Horses <br> More like Nibiru's orbit, ascension in Pyramid coffins <br> It's safe to say I'm thinkin' in a major way <br> I reckon you take your exit and make your way out <br> Its my time, not Morris Day's now <br> The more the days go by, the more I'm reminded that I'm a Titan <br> If there was ever, whats pressure to a diamond? <br> I'm the Haile Sela**ie of rhyming <br> Ab-Soul <br> [Verse 2: Talib Kweli] <br> You spit dummy, I get money like Clark Howard <br> BET, lemme show you black star power <br> It's funny they want me to spit <br> When really they never play me though <br> On the real, the alternative is what you hear on the radio <br> Fashion designer rappers <br> Wanna climb back inside of their Mama's vaginas <br> When pa**ionate rhymers become reminders, son <br> You stay sleepin' on me, you soft the Satin pajamas, son <br> My hood is like the jungle with lions packin' the llama's <br> From Vandavere's to Gowan*s, I'm so notorious <br> Fightin' my way back to Brooklyn like we the warriors <br> Right in your face, ain't no life line for you to call on <br> You simple like a pimple, you sort of an oxymoron <br> I'm graceful as Jordan with the fade-away <br> Write a pa**age as painful as circumcision with a razor blade <br> I stay open cause I'm better with words <br> I'm Frank Ocean at a Chik-Fil-A, I'll never get served <br> [Verse 3: Kendrick Lamar] <br> If I said I'd be doing this at 16, would you believe me? <br> Or see me to be just the innocent Kendrick, you seen in the street <br> With a basketball and some Now and Laters to eat <br> I'm mashing all of my skeletons, would you jump in a seat <br> Would you say my intelligence now is great relief? <br> And it's safe to say that our next generation maybe can sleep <br> With dreams of being a lawyer, a doctor <br> Instead of a boy with a chopper that hold the culdesac hostage <br> And do 'em all if they gossip <br> Children on the corn', stay vandalizing the option <br> Of living a lie, driving their bodies with toxics <br> Constantly drinking and drive <br> Hit the powder then watch the flames that arrive in his eyes <br> Listen coward the concept is aim it, then bang it, then slide <br> Out the b**h the deposit <br> The prize on his head that tithes probably'll go to the projects <br> I live inside the belly of the critics <br> And Snoop pa**ed us the torch, I'm-ma burn you rappers with it <br> What's up? <br> [Verse 4: Childish Gambino] <br> Still good with a pen, no Joe Paterno <br> I count Ninja Turtles, my cash flow concern them <br> Gambino you meet him, repping east side of the A hard <br> Got the Black AMEX, I gotta pull the race card <br> n***as move that Kreayshawn, naw I don't carry mine <br> Why the game f**ed up like my hairline <br> Ay girl, you ever smoke a bowl out with Kid Cudi? <br> You ever gotten D like you don't study? <br> Rap game in the fast lane, with a gas tank <br> Filled with half of these trash lames <br> I have to say I'm such a Joey's last name <br> Bino boy, why you spit so mean <br> Why the flow so rich girl, them sweet sixteens <br> He on BET and he got White people problems <br> ""Like, Whole Foods doesn't have the juice I like so I have to go to, you know <br> Trader Joe's and have it shipped to me"" <br> Victory, history <br> More G than a kid's movie, Royalty <br> [Verse 5: A$AP Rocky] <br> My name is Rock in the new drop, my destiny's to be the new Pac <br> That n***a Rocky gotta die, he too hot <br> It's dead on, must've been tripping and stepping in heron' <br> Cause I'm crippin the lead on  <br>  <br>  <br>  <br> I'm getting forensics twisting your head on <br> Traffic, mad clips, caskets, pa** this, ashes to ashes <br> That sh**, backwards, tactics <br> b**hes only like me for my status <br> Living ghetto fabulous and I'm still actin ratchet <br> Twenty-four karats, no dressing with my salads <br> n***a with the Patch kids, steady talkin cabbage <br> Got a chick red like radish, have it <br> b**hes think they bad til I drop them like habits <br> No one in this cyph' has swag like I do <br> Church with this verse, I'mma hit em with the gospel <br> Ever since a baby, ask my old lady <br> My first four words was, f** you, pay me <br> [Verse 6: Hopsin] <br> Grab your Slurpee and popcorn, I'm bout to make it hot for 'em <br> They didn't even invite me to this sh**, man I just walked on <br> If I didn't come, then every bit of hope for rap is all gone <br> I'm ill, in the past you thought I wasn't, but you thought wrong <br> ""Hop I lost respect for you, I'm pissed and you just lost a fan <br> All you do is diss, I'll never bump your album ""Raw"" again"" <br> If what I say gets on your last nerve, then holla man <br> But truth is, y'all can't touch me like Pac's hologram <br> Don't dare to try it if you scared of dyin' <br> I'm terrifyin', the real Boogie Man, who even got your parents hidin' <br> When you're sleeping, I'll find your window, and just stare inside it <br> I'm a animal, momma raised me inside a lair with lions <br> Prepare for violence, Funk Volume's an unfair alliance <br> We embarra** giants, and rip mic's till we get laryngitis <br> My wave's sitting like a sandstorm, and I know what you mad for <br> Cause I'm living my dream, and yours <br> [Verse 7: Schoolboy Q] <br> Dropped out of school and became richer <br> Retired from the pliers, kept balling like I'm a clipper <br> Black hoodies, black b**hes and black Benzes <br> She know these chains fit, so now she want my forensics <br> Got love for my city, shout out to Kendrick <br> October 22nd, the album, so go and get it <br> Look, turn a good kid to wig city, I serve plenty <br> Shoot til the chamber and clip empty, that's real crippy <br> Have a shirt, and my knuckles smothered with hate powder <br> Die and go to hell, and have the devil getting higher <br> How ironic that we smoking fire, gangsta rap Messiah <br> Mid-20's but 20 racks an hour <br> Bucket hats and designer beans, the Bosselini <br> Young slimmy, your chance see me?, your chance skinny <br> (?) placed rappers get paid pennies <br> A million off of tour this year because of all this talk about Romney <br> Iffy, Puffy <br> [Verse 8: Mac Miller] <br> My flow is captivating, Magic Chick is watching this and masturbating <br> Basket cases, spitting in yo picnic, better pack a lunch <br> Chop 'em down, bag 'em up, Bill Murray, Daffy Duck <br> Yeah my squad the illest, y'all a little fishy, halibut <br> Chickens acting ratchet get split open with this hatchet <br> We the kids that causing racket with that automatic riot sh** <br> Irises is violent, air balloon, we high as heck <br> Play the violin, f**ing models wearing Iverson's <br> This my moment, don't blow it like my old chick <br> You the type to still tuck your shirt behind your phone clip <br> Whoa, and I think I might need a lawyer <br> Hov bout to have me k**ed for trying to talk to Rita Ora <br> I'm sorry that's just extra there <br> I'm going crazy like Clint Eastwood iat the empty chair <br> Keep your eyes peeled, running through a mine field <br> Even Lord Finesse will tell you I'm ill <br> [Verse 9: Mystikal] <br> Mystikal flex your style on em, transform and get wild on em <br> Growl at em, ""Rah"" <br> Trukfit n***a you a monster, you out the attic <br> Yeah scare a n***a, ""Rah"" <br> I sit your stupid a** down wherever on the side <br> Let a real n***a back in this b**h, get it live <br> Off of that performance, y'all might consider a different job <br> That ain't gon' cut it partna, at least you tried <br> How many n***as can't spell live cause they tired? <br> Some of them think that they the sh** but they not <br> Move to the Shakers, make it happen when they pound <br> Hustles out to get it bustin', layin' on they side <br> Big Truck, Cash Money rapping Baboon <br> Ya auntie and ya momma know bout that (?) fool <br> Your grandpa and your grandma heard that (?) rule <br> White boys and white girls gon' buy sh** from that f**in dude"
2013 Yeezus Tour Dates,"October 19 2013 Seattle, WA Key Arena*# <br> October 20 2013 Vancouver, B.C. Pepsi Live at Rogers Arena*# <br> October 22 2013 San Jose, CA SAP Center*# <br> October 23 2013 Oakland, CA Oracle Arena*# <br> October 25 2013 Las Vegas, NV MGM Grand Garden Arena*^ <br> October 26 2013 Los Angeles, CA Staples Center*# <br> October 28 2013 Los Angeles Staples Center <br> November 01 2013 Salt Lake City, UT Energy Solutions Arena*# <br> November 03 2013 Denver, CO Pepsi Center*# <br> November 05 2013 Minneapolis, MN Target Center*# <br> November 07 2013 Chicago, IL United Center*# <br> November 10 2013 Detroit, MI Palace of Auburn Hills*# <br> November 12 2013 Toronto, ONT. Air Canada Centre*#  <br>  <br>  <br>  <br> November 14 2013 Montreal, QUE. Bell Centre# <br> November 16 2013 Philadelphia, PAWells Fargo Center*# <br> November 17 2013 Boston, MA TD Garden*# <br> November 19 2013 Brooklyn, NY Barclays Center*^ <br> November 21 2013 Washington, DC Verizon Center# <br> November 23 2013 New York, NY Madison Square Garden*^ <br> November 29 2013 Miami, FL American Airlines Arena*# <br> November 30 2013 Tampa, FL Tampa Bay Times Forum^ <br> December 01 2013 Atlanta, GA Philips Arena# <br> December 06 2013 Dallas, TX American Airlines Center# <br> December 07 2013 Houston, TX Toyota Center# <br> # WITH KENDRICK LAMAR <br> ^ SPECIAL GUEST TO BE ANNOUNCED <br> TICKETS WITH* ON SALE FRIDAY 9 13 13"
2DopeBoyz Freestyle,"[Hook: Kendrick Lamar] <br> Too hot to handle, Too dope to hold <br> 2DopeBoyz we roll deep everybody gather <br> Your seats, we going to Cloud 9 and we <br> Coming back in a week, and the weak good <br> Riddance, only the strong permitted to ride <br> Or test drive with Kendrick the Jedi, one of a <br> Kind like great antiques museums buy <br> Haters I tell em hi, enemies I don't tell em sh** <br> But booya click booya click, click <br> [Verse 1: Kendrick Lamar] <br> Ooh, ya'll done stumbled on a fortune <br> The rebirth of hip hop since they got abortions <br> And I rock like Mt. Rushmore, grab your thesaurus <br> So you can find a synonym of a n***a that been gem <br> Diamond in the rough <br> Sheriffs wanna see me cuffed like the links of a bu*ton up <br> Book em down! f** is up? <br> Mind of a Vietnam Vet when a n***a rhyme <br> A n***a shine, like I'm seeing signs in a different light <br> I'm on my grind, see it right? Real starving artist <br> Finna blow like a Mario Game cartridge, standing on my own two <br> Me and Dave like Big and Puff before shiny suits <br> Welcome to the Compton Zoo, lying with a lion on Rosecrans Avenue  <br>  <br>  <br>  <br> A tiger on Central <br> Arms so soar beating up these instrumentals Sounwave give me <br> More, after that find a morgue with a mortice, because we.. <br> [Hook: Kendrick Lamar] <br> [Verse 2: Kendrick Lamar] <br> Ooh, and I'm back up on my bullsh**, shooting to the top with a hollow <br> Tip full clip <br> an*logy is like a pit bull on the pulpit, I drool I don't really <br> Spit, mad dog in this b**h, foaming at the mouth, is you a man or a mouse? <br> Sipping Mickey's, while you looking like Mickey trapping it out <br> That's not a diss, that's really a dope line, and in order to see my vision you <br> Probably would go blind <br> I'm chilling with a blonde, she dumb as f**, but she can s** a bowling ball <br> Through a straw, that make you tell your mom <br> I'm just a little n***a trying to make my city proud, I used to watch Doug and wear <br> My cousins hand-me-downs <br> Now I'm grown up, unemployed, sipping Henny, pissing throuh a cup, and still get <br> The job done, 2DopeBoyz I said what up, tell your listeners to have some frost <br> Bitten gloves cause <br> [Hook: Kendrick Lamar]"
