Song Title,Lyrics
6 feet apart*,
A Long Way,"Six beers, five guys <br> And if I remember right <br> It was a Wednesday when we got our buzz off <br> A second-hand six pack <br> Half smoked, soft pack <br> Light it up, boys take a drag <br> And when I fought that cough off everyone else thought <br> I was so damn cool <br> My head was spinning like a tilt-a-whirl <br> Yeah man it really rocked my world <br> Back when things seemed just a little bit stronger <br> Back when the weekend lasted a little bit longer <br> Can't tell you why they did but things seemed to never end back then <br> Oh, way back when <br> When a little went a long way <br> One girl, and 45 <br> Bucks was all it took that night <br> Hit the steak house, make-out in the movies <br> Way up in the back <br> Credits roll, on pace  <br>  <br>  <br>  <br> To make it all the way to second base <br> Tried to play it cool like it was nothing new <br> And she didn't have clue <br> That my head was spinning like a tilt-a-whirl <br> Yeah man she really rocked my world <br> Back when things seemed just a little bit stronger <br> Back when the weekend lasted a little bit longer <br> Can't tell you why they did but things seemed to never end back then <br> Oh, way back when <br> When a little went a long way <br> Back when things seemed just a little bit stronger <br> Back when the weekend lasted a little bit longer <br> Can't tell you why they did but things seemed to never end back then <br> Oh way back when, when a little went a long long way, oh <br> A long way"
Be Careful What You Wish For,"[Verse 1] <br> Couldn't wait to ride out of that one horse town <br> Didn't see no use in sticking around <br> I was green and busting at the seams to leave <br> I was sitting on G, waiting on O <br> The day I hit eighteen, I hit the road <br> Traded that county maintain for a four lane city street <br> [Pre-Chorus] <br> But sometimes things ain't what you think they're gonna be <br> What you want ain't always what you need <br> [Chorus] <br> Don't know what you got 'til it's gone <br> And you're out on your own <br> All you want is what you can't get back <br> Once you let it go, then you know what you have <br> Don't hold a candle to what you had <br> Sometimes what you think you'll find <br> It ain't quite what real life has in store <br> So be careful what you wish for <br> [Verse 2] <br> She was holding on just a little too tight <br> Talked a little too much about the rest of our lives <br> I broke her heart thinking freedom would set me free <br> Well sometimes things ain't what you think they're gonna be  <br>  <br>  <br>  <br> [Chorus] <br> Don't know what you got 'til it's gone <br> And you're out on your own <br> All you want is what you can't get back <br> Once you let it go, then you know what you have <br> Don't hold a candle to what you had <br> Sometimes what you think you'll find <br> It ain't quite what real life has in store <br> So be careful what you wish for <br> [Bridge] <br> 'Cause these city lights can't shine quite like the stars <br> I wish I could wish her back into my arms <br> [Chorus] <br> Don't know what you got 'til it's gone <br> And you're out on your own <br> All you want is what you can't get back <br> Once you let it go, then you know what you have <br> Don't hold a candle to what you had <br> Sometimes what you think you'll find <br> It ain't quite what real life has in store <br> And you can't get her back no more <br> So be careful what you wish for <br> Be careful what you wish for"
Beautiful Crazy,"[Verse 1] <br> Her day starts with a coffee and ends with a wine <br> Takes forever to get ready so she's never on time for anything <br> But she gets that comb, get me that look in her eye <br> Well it kinda scares me the way that she drives me wild <br> But she drives me wild <br> [Chorus] <br> Beautiful, crazy, she can't help but amaze me <br> The way that she dances, ain't afraid to take chances <br> And wears her heart on her sleeve <br> Yeah, she's crazy but her crazy's beautiful to me <br> [Verse 2] <br> She makes plans for the weekend, can't wait to go out <br> Till she changes her mind, says 'let's stay on the couch and watch TV' <br> And she falls asleep  <br>  <br>  <br>  <br> [Chorus] <br> Beautiful, crazy, she can't help but amaze me <br> The way that she dances, ain't afraid to take chances <br> And wears her heart on her sleeve <br> Yeah, she's crazy but her crazy's beautiful to me <br> [Bridge] <br> She's unpredictable, unforgettable <br> It's unusual, unbelievable <br> How I'm such a fool, yeah I'm such a fool for her <br> [Chorus] <br> Beautiful, crazy, she can't help but amaze me <br> The way that she dances, ain't afraid to take chances <br> And wears her heart on her sleeve <br> Yeah, she's crazy, she's crazy, she's crazy <br> But her crazy's beautiful to me <br> Her crazy's beautiful to me"
Beer Can,"I’ve been working this job 9 to 5 <br> Minium wage and overtime <br> But here comes a few days of unpaid vacation <br> And there ain’t no way jose i'll waste them <br> 'Cause there ain’t no better feeling then when <br> I pick up a beer can <br> And get to feeling like superman <br> Its Friday night yah <br> Hears the plan <br> I'm gonna throw back a couple an' <br> Keep it 'em glued to my right hand <br> Any flavor, size, or brand <br> Until the point where I can’t stand <br> No, nothing picks me up like a beer can <br> Well I woke up at 1 pm <br> And introduced myself to my new girlfriend <br> And there’s a racking ball size hole in the wall in the basement <br> I ain't got no clue how or who could've made it <br> Well all I knew how is sh** hit the fan <br> And here we go again  <br>  <br>  <br>  <br> So I pick up a beer can <br> And get to feeling like superman <br> It's Saturday out <br> Heres the plan <br> I'm gonna throw back a couple an' <br> Keep it 'em glued to my right hand <br> Any flavor, size, or brand <br> Until the point where I can’t stand <br> No, nothing picks me up like a beer can <br> Well it's Sunday now <br> And I'm freaking out 'cause I can’t handle 5 days without <br> Yeah I'm picking up a beer can <br> And get to feeling like superman <br> Its Sunday, who gives a damn <br> I'm gonna throw back a couple an' <br> Keep it 'em glued to my right hand <br> Any flavor, size, or brand <br> Till the point where I can’t stand <br> No, nothing picks me up like a beer can <br> Like a beer can <br> No, nothing picks me up like a beer can"
Beer Never Broke My Heart,"I’ve had a largemouth ba** bust my line <br> A couple of beautiful girls tell me goodbye <br> Trucks break down, dogs run off <br> Politicians lie, gettin’ fired by the boss <br> It takes one hand to count the things I can count on <br> There ain’t much that ain’t ever let me down <br> Well longneck iced cold beer never broke my heart <br> Like diamond rings and football teams have torn this boy apart <br> Like a neon dream it just don’t know me, the bars and this guitar <br> A longneck iced cold beer never broke my heart <br> Now she was a Carolina blue jean baby <br> Fire in her eyes that drove me crazy <br> Red tail lights when she left town <br> I didn’t know then, I sure do now  <br>  <br>  <br>  <br> That longneck iced cold beer never broke my heart <br> Like diamond rings and football teams have torn this boy apart <br> Like a neon dream it just don’t know me, the bars and this guitar <br> A longneck iced cold beer never broke my heart <br> Now I got one hand to count the things I can count on <br> But I got one man drippin’ down on a cold one <br> ‘Cause longneck iced cold beer never broke my heart <br> Like diamond rings and football teams have torn this boy apart <br> Like a neon dream it just don’t know me, the bars and this guitar <br> A longneck iced cold beer never broke my heart <br> It never broke my heart"
Can I Get An Outlaw,"Back in the day it was a six gun, and a six string <br> Man, that was country <br> And that's the way country still out to be <br> It was lived, not taught, it was earn that ball <br> Had to put in the work to get to the top <br> Let me tell you, how things really gone wrong <br> These days its all wannabes singing someone else's songs <br> Everybody's doing the same damn thing <br> Where have the rebels gone? <br> [Chorus:] <br> Cause we don't need <br> Another pretty boy, singing pretty songs <br> We need country boys, doing country all raw <br> Another Haggard, or a Johnny Cash <br> Somebody chewing tobacco, and whipping a** <br> I need preacher, I need a savior <br> How about y'all? <br> Can I get an outlaw?  <br>  <br>  <br>  <br> It don't have to be honkytonks, boots, and wrangler jeans <br> It ain't the banjo or the fiddle, no <br> It's the words and what they mean <br> If you gonna talk the talk, you better walk the walk <br> And brother that's the truth <br> So honestly, what would Waylon do? <br> I can guarantee that if he was alive today <br> He'd ask us one more time: <br> ""Are you sure Hank done it this way?"" <br> [Chorus] <br> Are the good times really gone for good? <br> Or did we get back to our roots? <br> It's about that time we raise the bar <br> So raise a gla** if you feel like I do <br> [Chorus] <br> I pray country answers my call <br> Can I get an outlaw? <br> Oh, can I get an outlaw?"
Dive,"Oh, maybe I came on too strong <br> Maybe I waited too long <br> Maybe I played my cards wrong <br> Oh, just a little bit wrong <br> Baby I apologize for it <br> I could fall or I could fly <br> Here in your airplane <br> And I could live, I could die <br> Hangin’ on the words you say <br> And I’ve been known to give my all <br> And jumpin’ in harder than <br> Ten thousand rocks on the lake <br> So don’t call me baby <br> Unless you mean it <br> And don’t tell me you need me <br> If you don’t believe it <br> So let me know the truth <br> Before I dive right into you <br> You’re a mystery <br> I’ve travelled the world <br> And there’s no other girl like you <br> No one, what’s your history? (What’s your history?) <br> Do you have a tendency to lead some people on? <br> ‘Cause I heard you do, mmh <br> I could fall, or I could fly  <br>  <br>  <br>  <br> Here in your airplane <br> And I could live, I could die <br> Hanging on the words you say <br> And I’ve been known to give my all <br> And lie awake, every day <br> Don’t know how much I can take <br> So don’t call me baby <br> Unless you mean it <br> Don’t tell me you need me <br> If you don’t believe it <br> So let me know the truth <br> Before I dive right into you <br> I could fall, or I could fly <br> Here in your airplane <br> And I could live, I could die <br> Hangin’ on the words you say <br> And I’ve been known to give my all <br> Sittin’ back, lookin’ at <br> Every mess that I made <br> So don’t call me baby <br> Unless you mean it <br> Don’t tell me you need me <br> If you don’t believe it <br> So let me know the truth <br> Before I dive right into you <br> Before I dive right into you <br> Before I dive right into you"
Doin’ This,"[Verse 1] <br> Someone asked me once in an interview <br> What was growing up like? <br> Where'd you go to school? <br> And what would you do if you weren't doin' this? <br> I'd be drivin' my first car, an old worn-out Dodge <br> Tryin' to make rent with a dead-end job, just makin' due <br> With tips in a jar, my guitar, and an old barstool <br> [Chorus] <br> I’d have a Friday night crowd in the palm of my hand <br> Cup of brown liquor, couple buddies in a band <br> Singin’ them same damn songs like I am now <br> I’d be feelin’ on fire on a hardwood stage <br> Bright lights like lightning runnin’ through my veins <br> At the Grand Ole Opry or a show in some no-name town <br> I’d still be doin’ this if I wasn’t doin’ this <br> [Verse 2] <br> I'd still be the same guy they knew back in the day <br> Who was burnin' CD's just to give away <br> Payin' his dues <br> If I wasn't doin' this <br> Five deep in a van, head full of steam <br> Hot on the heels of my neon dreams maybe comin' true <br> Livin' this life just like I was born to do <br> [Chorus] <br> I’d have a Friday night crowd in the palm of my hand <br>  <br>  <br>  <br> Cup of brown liquor, couple buddies in a band <br> Singin’ them same damn songs like I am now <br> I’d be feelin’ on fire on a hardwood stage <br> Bright lights like lightning runnin’ through my veins <br> At the Grand Ole Opry or a show in some no-name town <br> I’d still be doin’ this if I wasn’t doin’ this <br> [Bridge] <br> It ain't about the fame <br> It ain't about the fortune <br> It ain't about the name <br> It ain't about the glory <br> I guess I'm sayin' it's always been about <br> [Chorus] <br> Having a Friday night crowd in the palm of my hand <br> Cup of brown liquor, couple buddies in a band <br> Singin' them same damn songs like I am now <br> I’d be feelin’ on fire on a hardwood stage <br> Bright lights like lightning runnin’ through my veins <br> At the Grand Ole Opry or a show in some no-name town <br> I’d still be doin’ this if I wasn’t doin’ this <br> [Outro] <br> Someone asked me once in an interview <br> What was growing up like? <br> Where'd you go to school? <br> And what would you do if you weren't doin' this?"
Don't Tempt Me,"I’ve been doing my best to make church on Sundays <br> And ain’t been calling in hungover most Mondays <br> I guess you could say I’m being grown up <br> I got my sh** together and oddly enough <br> I don’t mind <br> ‘Cause it’s about time <br> But if you second guessin’, don’t think for a second <br> That I can’t hang <br> ‘Cause I’ve been known to get a little bit of wild and reckless <br> Known to have a little bit of beer with breakfast <br> You can bet these boots have got a little used to <br> Stomping on a hardwood floor <br> And buying the bar another round of shots <br> Close my tab and hit the parking lot <br> Next stop is a spot with a fridge stocked on the back porch <br> I ain’t afraid to take too many steps out of line <br> So don’t tempt me with a good time <br> Well most folks think I don’t know how to throw down <br> They done forgot about Rowdy <br> But no doubt he’s still around <br> So keep cracking those jokes <br> ‘Cause I’m willing and able <br> Yeah, this old boy’ll drink you under the table <br> ‘Cause I’ve been known to get a little bit of wild and reckless  <br>  <br>  <br>  <br> Known to have a little bit of beer with breakfast <br> You can bet these boots have got a little used to <br> Stomping on a hardwood floor <br> And buying the bar another round of shots <br> Close my tab and hit the parking lot <br> Next stop is a spot with a fridge stocked on the back porch <br> I ain’t afraid to take too many steps out of line <br> So don’t tempt me with a good time <br> At 3AM I’m still hanging tough <br> My buddy’s pa**ed out in the bed of my truck <br> And I can’t wait ’til he wakes up <br> And see the pictures on his phone <br> ‘Cause I’ve been known to get a little bit of wild and reckless <br> Known to have a little bit of beer with breakfast <br> You can bet these boots have got a little used to <br> Stomping on a hardwood floor <br> And buying the bar another round of shots <br> Close my tab and hit the parking lot <br> Next stop is a spot with a fridge stocked on the back porch <br> I ain’t afraid to take too many steps out of line <br> So don’t tempt me with a good time <br> With a good time"
