Song Title,Lyrics
A Burning Hill,Today I will wear my white bu*ton-down <br> I'm tired of wanting more <br> I think I'm finally worn <br> For you have a way of promising things <br> And I've been a forest fire <br> I am a forest fire <br> And I am the fire and I am the forest <br> And I am a witness watching it <br> I stand in a valley watching it  <br>  <br>  <br>  <br> And you are not there at all <br> So today I will wear my white bu*ton-down <br> I can at least be neat <br> Walk out and be seen as clean <br> And I'll go to work and I'll go to sleep <br> And I'll love the littler things <br> I'll love some littler things
A Loving Feeling,What do you do with a loving feeling <br> If the loving feeling makes you all alone? <br> What do you do with a loving feeling <br> If they only love you when you're all alone? <br> Holding hands under the table <br> Meeting up in your bedroom <br> Making love to other people <br> Telling each other it's all good <br> Kisses like pink cotton candy <br> Talking to everyone but me <br> I'm staying up late just in case you come up and ask to leave with me  <br>  <br>  <br>  <br> What do you do with a loving feeling <br> If the loving feeling makes you all alone? <br> What do you do with a loving feeling <br> If they only love you when you're all alone? <br> What do you do with a loving feeling <br> If the loving feeling makes you all alone? <br> What do you do with a loving feeling <br> If they only love you when you're all alone? <br> You only love me when we're all alone
Abbey,"I am hungry <br> I have been hungry <br> I was born hungry <br> What do I need? <br> I am something <br> I have been something <br> I was born something <br> What could I be? <br> There is a light that I can see <br> But only, it seems, when there's darkness in me <br> There is a dream that I sometimes see <br> That only appears in the dark of sleep <br> I am waiting <br> I have been waiting  <br>  <br>  <br>  <br> I was born waiting <br> I was born waiting for that something <br> Just one something <br> I was born something <br> I was born <br> There is a light, I feel it in me <br> But only, it seems, when the dark surrounds me <br> There is a dream and it sleeps in me <br> Keeps me awake in the night <br> Crying sets me free <br> And I wake every night <br> Crying sets me free"
Bag of Bones,"I'm all used up, pretty boy, over and over again <br> My nail colors are wearing off <br> See my hands, pretty boy, what do they tell you <br> 'Cause I've looked down at them not knowing why <br> And after everything's done and I'm all undone <br> You can hear my high heels walking on <br> Clickity-clacking through the night <br> I'm carrying my bag of bones <br> Fluorescent store lights, you shine through the night <br> Illuminate my pores, and you tear me apart <br> Mercy on me, would you please spare me tonight <br> I'm tired of this searching, would you let me let go <br> I know my room is a mess, over and over again <br> I tell myself I'll clean tomorrow  <br>  <br>  <br>  <br> Just move the stuff up off the bed and do what you came here to do <br> But first open up a window for me <br> And let the cool air in, feel the night slip in <br> As it softly glides along your back <br> And I hope you leave right before the sun comes up <br> So I can watch it alone <br> Fluorescent store lights, you shine through the night <br> Illuminate my pores, and you tear me apart <br> Mercy on me, would you please spare me tonight <br> I'm tired of this searching, would you let me let go <br> And I can take a little bit more <br> Let's shake this poet out of the beast <br> Just a, just a little bit more <br> Let's shake this poet out of the beast"
"Because Dreaming Costs Money, My Dear","I can still smell the fire <br> Even though it's long died out <br> The smoke still hangs in my hair <br> And on some quiet evenings it burns my eyes <br> So darling, play your violin <br> I know it's what you live for <br> Darling, play your violin <br> We will manage somehow <br> I once lived in the sea <br> Bring me to your ear, you can hear  <br>  <br>  <br>  <br> The tide where I used to be <br> Though now I'm but a shell, <br> Oh babe, <br> Don't say sorry <br> Darling, play your violin <br> I know it's what you live for <br> Darling, play your violin <br> We will manage somehow <br> Don't dare regret anything <br> Remember what you're here for, you <br> Just play your violin <br> And we will manage somehow."
Between The Breaths,"As you look to the stars then you could find <br> Illuminated in scars, a face aligned <br> I'm saving a space between the breaths <br> I'm making your place between the breaths <br> As the <br> [?] <br> I will laugh in your face like shattered gla** <br> I'm saving a space between the breaths <br> We are saving a place between the breaths <br> Between the breaths <br> Between the breaths <br> Between the breaths <br> Between the breaths <br> I've seen it <br> Ooh, and I'll breathe it <br> I've seen it <br> Ooh, and I'll breathe it <br> Between the breaths <br> I never said where I came from <br> You never asked what I was made of <br> You didn't need to know, you already know <br> I said it even so you didn't need to know <br> You never said you couldn't see me <br> Never a hint you couldn't be me <br> I could never say, I didn't need to say <br> Now I'm fine, I'll go, it was touch-and-go <br> Counting the breaths <br> Until you <br> Holala, holala <br> Holala, holala <br> The distance between us solved by a shrug <br> Just a shrug of dark matter <br> Just a shrug of dark matter <br> You thought you saw it in store you could afraid <br> You think you wish you may you wish you might <br> Be saving a space between the breaths  <br>  <br>  <br>  <br> We are saving a place between the breaths <br> I've seen it <br> Oh, and I'll breathe it <br> I've seen it <br> Oh, and I'll breathe it <br> Between the breaths <br> Between the breaths <br> Between the breaths <br> You never said you couldn't see me <br> Never a hint you couldn't be me <br> I could never say, I didn't need to say <br> I said it even though you didn't need to know <br> A sky full of messages, sealed up in bottles <br> Smashed elements, our days are not numbered <br> Scream in my mouth, I'll barely hear you <br> Flame to snow <br> First love to last <br> [?] <br> First love till now <br> Questions posed <br> Wouldn't cut the throat <br> You don't have to ask <br> First love to last <br> Let's meet at the same time every night <br> Starlight on skin is a million years old <br> You never asked my age, you never questioned my rage <br> Let's meet at the same time every morning <br> The blood in my gut is a thousand years old <br> But you are the sweetest infection, you are the sweetest infection <br> I could never know, I didn't need to know <br> You said it even though you could never know <br> I don't know, no <br> I don't know how <br> I don't know, no"
Brand New City,"I think my brain is rotting in places <br> I think my heart is ready to die <br> I think my body is falling in pieces <br> I think my blood is pa**ing me by <br> Honey, what'd you take, what'd you take? <br> Honey, look at me <br> Tell me what you took, what'd you take? <br> I think my fate is losing it's patience <br> I think the ground is pulling me down <br> I think my life is losing momentum <br> I think my ways are wearing me down  <br>  <br>  <br>  <br> But if I gave up on being pretty, I wouldn't know how to be alive <br> I should move to a brand new city and teach myself how to die <br> Honey, what'd you take, what'd you take? <br> Honey, look at me <br> Tell me what you took, what'd you take? <br> Honey, what'd you take, what'd you take? <br> Honey, look at me <br> Tell me what you took, what'd you take?"
Broken Necks,"[Verse 1] <br> When I had a million arms I would wrap them around all your body parts <br> Try to keep away all that could do you harm <br> Try to keep out sickness and keep you warm <br> But every time the going got tough one by one they were falling off <br> [Chorus x4] <br> While you were breaking your neck trying to keep your head up <br> I was breaking my neck just to stick it out for you <br> [Verse 2] <br> And I know we'd hang out everyday if I wasn't 100 miles away <br> From our tadpoles gathering in the creek <br> And our baby birds learning how to shriek <br> All the eagles I still haven't seen and the trees proudly alive and green  <br>  <br>  <br>  <br> I could swear they are there just for you and me <br> Whether friends or in love there's an indisputable beauty <br> [Chorus x4] <br> [Verse 3] <br> If the distance between us grows too strong <br> I would saturate silence with your songs <br> 'Cause you'd rub my back 'til the skin smoothed out <br> Smoother than the gla** that the sea spits out <br> And don't forget to take your shirt off, run into the water <br> The birds are singing louder and the days are getting longer <br> Open up your hands and accept that this has ended <br> ""Nothing in this world is holier than friendship"""
Carry Me Out,At night <br> On the roof top <br> I untie my hair <br> And watch from my plastic chair <br> As my dark hair <br> Unleashes the night <br> The scent of flowers <br> Still in bloom from morning shower <br> And I <br> Say your name <br> In hopes you'll hear it in the stars  <br>  <br>  <br>  <br> And carry me out <br> Carry me out <br> I drive when it rains <br> At night when it rains I drive <br> And the headlight spirits <br> They lead me down the styx <br> So black it shines <br> And carry me out <br> Carry me out
Circle,"There's a lie that I told to you <br> That now I can't tell the truth <br> And it ate me inside, so one soft drunken night <br> I slept with a man you knew <br> Then in the morning I walked home alone <br> And the businessmen saw my bones <br> With my skirt in their eyes, they remembered the nights <br> When they were that man you knew <br> You told me once <br> You were happy to have me <br> But I never gave me away <br> There's a lie that I told to you <br> I would give you my heart, I think  <br>  <br>  <br>  <br> But it's up in a branch of a tree <br> It was only to tease when he climbed up the tree <br> Put my heart where I couldn't reach <br> I didn't mind, I adored him so <br> We forgot, and we left for home <br> And that was so long ago, now the tree it has grown <br> And nobody knows my lover is buried underground, nobody knows my lover is buried underground, nobody knows my lover is buried underground <br> There's a lie that I told to you"
Cla** of 2013,"Mom, I'm tired <br> Can I sleep in your house tonight? <br> Mom, is it alright <br> If I stay for a year or two? <br> Mom, I'll be quiet <br> It would be just to sleep at night <br> And I'll leave once I figure out <br> How to pay for my own life too  <br>  <br>  <br>  <br> Mom, would you wash my back? <br> This once, and then we can forget <br> And I'll leave what I'm chasing <br> For the other girls to pursue <br> Mom, am I still young? <br> Can I dream for a few months more?"
Crack Baby,Down empty streets sniffing glue me and you <br> Blank open eyes watch the moonflower bloom <br> It's been a long hard twenty-year summer vacation <br> All these twenty years trying to fill the void <br> Crack baby you don't know what you want <br> But you know that you had it once <br> And you know that you want it back <br> Crack baby you don't know what you want <br> But you know that you're needing it <br> And you know that you need it bad <br> With wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Went to your room thinking maybe you'll feel something <br> But all I saw was your burning body waiting <br> All these twenty years on a vacation  <br>  <br>  <br>  <br> Crack baby you don't know what you want <br> But you know that you had it once <br> And you know that you want it back <br> Crack baby you don't know what you want <br> But you know that you're needing it <br> And you know that you need it bad <br> Crack baby you don't know what you want <br> But you know that you want it <br> Yeah you know that you want it <br> You know that you <br> Crack baby you don't know what you want <br> But you know that you need it <br> And you know that you need it bad <br> With wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Wild horses running through your hollow bones <br> Wild horses running through your hollow bones
Dan The Dancer,Dan had very long limbs <br> From leading day to day <br> Lean onto a cliff <br> That stretched him everyday <br> And when she'd ask to hold hands <br> He would smile and <br> Let one of his hands go <br> His whole life in one hand <br> His whole life <br> When he'd say goodnight and <br> Leave her doorstep <br> He'd use his last strength <br> To wave back <br> And once back in his room <br> Once back in his room <br> He'd return his waving hand <br> Back to its cliff <br> He liked it more than life itself <br> I'm sure  <br>  <br>  <br>  <br> Cause Dan had never danced outside of his room <br> When no one was home and he would stop to hear the door <br> So when he moved with you <br> And felt his body let go <br> Of course you couldn't know <br> It was you and you alone <br> That he had shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> Shown his bedroom dancer to <br> He would never tell you that it was his first time
