Song Title,Lyrics
"1 step forward, 3 steps back","Called you on the phone today <br> Just asked you how you are <br> All I did was speak normally <br> Somehow I still struck a nerve <br> You got me fu*ked up in the head, boy <br> Never doubted myself so much <br> Like am I pretty? Am I fun, boy? <br> I hate that I give you power on that kind of stuff <br> 'Cause it's always one step forward and three steps back <br> I'm the love of your life until I make you mad <br> It's always one step forward and three steps back <br> Do you want me, love me, hate me, boy, I don't understand <br> No, I don't understand <br> Maybe in some masochistic way I kinda find it all exciting <br> Like which lover will I get today? <br> You walk we to the door and send me home crying <br> 'Cause it's always one step forward and three steps back <br> I'm the love of your life until I make you mad <br> It's always one step forward and three steps back <br> Do you want me, love me, hate me, boy, I don't understand <br> No it's back and forth, did I say somethin' wrong? <br> It's back and forth, goin' over everything I said <br> It's back and forth, did I do somethin' wrong? <br> It's back and forth, baby, this is all your fault <br> Instead it's one step forward and three steps back <br> And I'd leave you but the roller coaster's all I've ever had <br> Instead it's one step forward and three steps back <br> And I'd leave you but the roller coaster's all I've ever had <br> It's always one step forward and three steps back <br> Do you want me, love me, hate me, boy, I don't understand <br> No, I don't understand <br> TRADUCTION 1 STEP FORWARD, 3 STEPS BACK - OLIVIA RODRIGO <br> Je t'ai appelé aujourd'hui <br> Je t'ai demandé comment tu allais <br> Je n'ai fait que parler normalement <br> J'ai quand même touché un point sensible  <br>  <br>  <br>  <br> Tu m'as rendu folle, mec <br> Je n'ai jamais autant douté de moi <br> Je suis belle ? Est-ce que je suis amusante, mon garçon ? <br> Je déteste te donner du pouvoir sur ce genre de choses <br> Parce que c'est toujours un pas en avant et trois pas en arrière <br> Je suis l'amour de ta vie jusqu'à ce que je te rende fou <br> C'est toujours un pas en avant et trois pas en arrière <br> Tu me veux, tu m'aimes, tu me détestes, je ne comprends pas <br> Non, je ne comprends pas <br> Peut-être que c'est d'une manière masochiste, je trouve tout ça excitant <br> Genre quel amant je vais avoir aujourd'hui ? <br> Tu nous raccompagnes à la porte et me renvoies chez moi en pleurant <br> Parce que c'est toujours un pas en avant et trois pas en arrière <br> Je suis l'amour de ta vie jusqu'à ce que je te rende fou <br> C'est toujours un pas en avant et trois pas en arrière <br> Tu me veux, tu m'aimes, tu me détestes, mon garçon, je ne comprends pas <br> Non, c'est un va-et-vient, ai-je dit quelque chose de mal ? <br> C'est un va-et-vient, je passe en revue tout ce que j'ai dit <br> C'est aller et venir, est-ce que j'ai fait quelque chose de mal ? <br> C'est aller et venir, bébé, tout est de ta faute <br> Au lieu de cela, c'est un pas en avant et trois pas en arrière <br> Et je te quitterais bien, mais les montagnes russes, c'est tout ce que j'ai jamais eu <br> Au lieu de cela, c'est un pas en avant et trois pas en arrière <br> Et je te quitterais bien, mais les montagnes russes, c'est tout ce que j'ai jamais eu <br> C'est toujours un pas en avant et trois pas en arrière <br> Tu me veux, tu m'aimes, tu me détestes, je ne comprends pas <br> Non, je ne comprends pas"
All I Want,"I found a guy, told me I was a star <br> He held the door held my hand in the dark <br> And he's perfect on paper but he's lying to my face <br> Does he think that I'm the kinda girl who needs to be saved <br> And there's one more boy, he's from my past <br> We fell in love but it didn't last <br> 'Cause the second I figure it out he pushes me away <br> And I won't fight for love if you won't meet me halfway <br> And I say that I'm through but this song's still for you <br> All I want is love that lasts <br> Is all I want too much to ask <br> Is it something wrong with me <br> All I want is a good guy <br> Are my expectations far too high  <br>  <br>  <br>  <br> Try my best but what can I say <br> All I have is myself at the end of the day <br> But shouldn't that be enough for me <br> Ooh ooh ooh ooh, ooh ooh <br> And I miss the days <br> When I was young and naive <br> I thought the perfect guy would come and find me <br> Now happy ever after it don't come so easily <br> All I want is love that lasts <br> Is all I want too much to ask <br> Is it something wrong with me, oh <br> All I want is a good guy <br> Are my expectations far too high <br> Try my best but what can I say <br> All I have is myself at the end of the day <br> And all I want is for that to be okay"
All I Want (Love That Lasts Mix),"[Verse 1] <br> I found a guy, told me I was a star <br> He held the door, held my hand in the dark <br> And he's perfect on paper, but he's lying to my face <br> Does he think that I'm the kinda girl who needs to be saved? <br> [Verse 2] <br> And there's one more boy, he's from my past <br> We fell in love, but it didn't last <br> 'Cause the second I figure it out, he pushes me away <br> And I won't fight for love if you won't meet me halfway <br> And I say that I'm through, but this song's still for you <br> [Chorus] <br> All I want is love that lasts <br> Is all I want too much to ask? <br> Is it something wrong with me? <br> All I want is a good guy <br> Are my expectations far too high?  <br>  <br>  <br>  <br> Try my best, but what can I say? <br> All I have is myself at the end of the day <br> But shouldn't that be enough for me? <br> [Bridge] <br> Ooh-ooh-ooh-ooh, ooh-ooh <br> And I miss the days when I was young and naive <br> I thought the perfect guy would come and find me <br> Now happy ever after, it don't come so easily <br> [Chorus] <br> All I want is love that lasts <br> Is all I want too much to ask? <br> Is it something wrong with me? Oh, ooh <br> All I want is a good guy <br> Are my expectations far too high? <br> Try my best but what can I say? <br> All I have is myself at the end of the day <br> And all I want is for that to be okay"
Born to Be Brave,"[Verse 1: Dara Reneé] <br> Don't need a king, I got my crown <br> Don't need a hero to lift me off the ground <br> I built this heart, it's beatin' loud <br> Won't let no bad blood ever bring us down <br> [Pre-Chorus: Dara Reneé] <br> Keep flyin' higher, fight like a fighter <br> What if I'm everything that I will ever need? <br> A queen messiah, a strong survivor <br> Even the worst days won't get the best of me <br> [Chorus: Dara Reneé] <br> 'Cause I was born to be brave <br> I know who I am inside and I won't apologize <br> Made my mistakes <br> And they gave me wings to fly to my castle in the sky <br> [Verse 2: Olivia Rodrigo] <br> I used to feel like I was lost <br> It's like my phone's navigation was turned off <br> But it's the road I stumbled on <br> That led me right to the place where I belong <br> [Pre-Chorus: Olivia Rodrigo] <br> Keep flyin' higher, fight like a fighter <br> Yeah, I am everything that I was meant to be <br> A blazin' fire that's gettin' brighter <br> Don't need nobody here that don't believe in me <br> [Chorus: Olivia Rodrigo] <br> 'Cause I was born to be brave <br> I know who I am inside and I won't apologize  <br>  <br>  <br>  <br> Made my mistakes <br> And they gave me wings to fly to my castle in the sky <br> [Post-Chorus: Olivia Rodrigo] <br> Let my hair down and let it go <br> No more runnin', I run this show <br> Way up here, yeah, the view is gold <br> Born to be brave <br> Now I'm standin' miles high like castles in the sky <br> [Bridge: HSMTMTS Cast] <br> Bosses and queens, stand up on your throne <br> Know who you are, this is your kingdom <br> Legends at heart, individuals <br> Go make your mark, be original! <br> [Instrumental Break] <br> [Chorus: HSMTMTS Cast, Dara Reneé & Olivia Rodrigo] <br> 'Cause I was born to be brave <br> I know who I am inside and I won't apologize <br> Made my mistakes <br> And they gave me wings to fly to my castle in the sky <br> [Post-Chorus: HSMTMTS Cast, Dara Reneé & Olivia Rodrigo] <br> Let my hair down and let it go <br> No more runnin', I run this show <br> Way up here, yeah, the view is gold <br> 'Cause I was born to be brave <br> Now I'm standin' miles high like castles in the sky <br> [Outro: Dara Reneé & Olivia Rodrigo] <br> Like castles in the sky"
"Breaking Free (Nini, Ricky & E.J. Version)","[Intro: Matt Cornett] <br> We're soarin', flyin' <br> There's not a star in heaven that we can't reach <br> If we're tryin', so we're breakin' free <br> [Verse: Olivia Rodrigo, with Joshua Bassett] <br> You know the world can see us <br> In a way that's different than who we are <br> Creating space between us, 'til we're separate hearts <br> But your faith, it gives me strength <br> Strength to believe <br> [Chorus 1: Olivia Rodrigo, Joshua Bassett & Both] <br> We're breakin' free <br> We're soarin', flyin' <br> There's not a star in heaven that we can't reach <br> If we're tryin', yeah, we're breakin' free <br> Oh, we're breakin' free (Ooh, woah) <br> [Bridge: Joshua Bassett, Olivia Rodrigo & Both] <br> More than hope, more than faith  <br>  <br>  <br>  <br> This is truth, this is fate <br> And together we see it comin' <br> More than you, more than me <br> Not a want, but a need <br> Both of us, breakin' free <br> [Chorus 1: Olivia Rodrigo, Joshua Bassett & Both] <br> Soarin', flyin' <br> There's not a star in heaven that we can't reach <br> If we're tryin', yeah, we're breakin' free (Breakin' free) <br> [Chorus 2: Olivia Rodrigo, Joshua Bassett & Both] <br> We're runnin', ooh, climbin' <br> To get to the place to be all that we can be (Be) <br> Now's the time (Now's the time) <br> So we're breakin' free (Oh, we're breakin' free; ooh, woah) <br> [Outro: Olivia Rodrigo & Joshua Bassett] <br> You know the world can see us <br> In a way that's different than who we are"
Brutal,"I want it to be, like, messy <br> I'm so insecure I think <br> That I'll die before I drink <br> And I'm so caught up in the need <br> Of who likes me and who hates you <br> And I'm so tired that I might <br> Quit my job, start a new life <br> And they'd all be so disappointed <br> 'Cause who am I if not exploited? <br> And I'm so sick of seventeen <br> Where's my fu*kin' teenage dream? <br> If someone tells me one more time <br> ""Enjoy your youth"", I'm gonna cry <br> And I don't stick up for myself <br> I'm anxious and nothing can help <br> And I wish I'd done this before <br> And I wish people liked me more <br> All I did was try my best <br> This the kind of things I did <br> I'm relentlessly upset <br> The say these are the golden years <br> But I wish I could disappear <br> Ego crush is so severe <br> God, it's brutal out here <br> (Yeah) <br> I feel like no one wants me <br> And I hate the way I'm perceived <br> I only have two real friends <br> And lately I'm a nervous wreck <br> 'Cause I love people I don't like <br> And I hate every song I write <br> And I'm not cool, and I'm not smart <br> And I can't even parallel park <br> All I did was try my best <br> This the kind of things I did <br> I'm relentlessly upset <br> The say these are the golden years <br> But I wish I could disappear <br> Ego crush is so severe <br> God, it's brutal out here <br> (Yeah, just havin' a really good time) <br> Got a broken ego, broken heart <br> (It's brutal out here, it's brutal out here) <br> God, I don't even know where to start <br> TRADUCTION BRUTAL - OLIVIA RODRIGO <br> Je veux que ce soit, comme, désordonné <br> Je suis si peu sûr de moi que je pense <br> Que je vais mourir avant de boire <br> Et je suis tellement pris dans le besoin  <br>  <br>  <br>  <br> De savoir qui m'aime et qui te déteste <br> Et je suis si fatiguée que je pourrais <br> Quitter mon travail, commencer une nouvelle vie <br> Et ils seraient tous si déçus <br> Car qu'est-ce que je suis sinon exploité ? <br> Et j'en ai marre d'avoir 17 ans <br> Où est mon putain de rêve d'adolescente ? <br> Si quelqu'un me dit encore une fois <br> ""Profite de ta jeunesse"", je vais pleurer <br> Et je ne me défends pas <br> Je suis anxieuse et rien ne peut m'aider <br> Et j'aimerais avoir fait ça avant <br> Et j'aimerais que les gens m'apprécient davantage <br> Tout ce que j'ai fait, c'est faire de mon mieux <br> C'est le genre de choses que j'ai fait <br> Je suis implacablement bouleversée <br> On dit que ce sont les années d'or <br> Mais j'aimerais pouvoir disparaître <br> Mon ego m'étouffe tellement <br> Dieu, c'est brutal ici <br> (Ouais) <br> J'ai l'impression que personne ne veut de moi <br> Et je déteste la façon dont je suis perçue <br> Je n'ai que deux vrais amis <br> Et ces derniers temps, je suis une boule de nerfs <br> Parce que j'aime des gens que je n'aime pas <br> Et je déteste toutes les chansons que j'écris <br> Et je ne suis pas cool, et je ne suis pas intelligente <br> Et je ne sais même pas me garer comme il faut <br> Je n'ai fait qu'essayer de faire de mon mieux <br> C'est le genre de choses que j'ai fait <br> Je suis implacablement bouleversée <br> On dit que ce sont les années d'or <br> Mais j'aimerais pouvoir disparaître <br> Mon ego m'étouffe <br> Dieu, c'est brutal ici <br> (Ouais, je suis juste en train de m'amusez) <br> J'ai un ego brisé, un cœur brisé <br> (C'est brutal par ici, c'est brutal par ici) <br> Dieu, je ne sais même pas où commencer"
Can't Take My Eyes Off You,"{verse 1: joshua bassett} <br> I wanna hold you so much <br> At long last love has arrived <br> And i thank god i'm alive <br> You’re just too good to be true <br> Can't take my eyes off of you <br> {verse 2: olivia rodrigo} <br> Pardon the way that i stare <br> There's nothin’ else to compare <br> The sight of you leaves me weak <br> There are no words left to speak <br> So if you feel like i feel <br> Please let me know that it's real <br> 'cause you're just too good to be true <br> I can't take my eyes off of you <br> {chorus: olivia rodrigo & joshua bassett, joshua bassett} <br> I love you, baby, and if it's quite alright <br> I need you, baby, to warm those lonеly nights <br> I love you, baby, trust in me when i say: <br> Oh, prеtty baby, don't let me down, i pray <br> Oh, pretty baby, now that i found you, stay <br> And let me love you, baby, let me love you (key change) <br> {verse 3: joshua bassett & olivia rodrigo} <br> You're just too good to be true  <br>  <br>  <br>  <br> Can’t take my eyes off of you <br> You’d be like heaven to touch <br> And i wanna hold you so much <br> At long last love has arrived <br> And i thank god i'm alive <br> You’re just too good to be true <br> Can't take my eyes off of you <br> {chorus: olivia rodrigo & joshua bassett} <br> I love you, baby, and if it's quite alright <br> I need you, baby, to warm those lonely nights <br> I love you, baby, trust in me when i say: <br> Oh, pretty baby, don't let me down, i pray <br> Oh, pretty baby, now that you found me, stay <br> And let me love you, baby, let me love you <br> {verse 4: joshua bassett, olivia rodrigo & both} <br> You’re just too good to be true <br> Can't take my eyes off of you <br> You'd be like heaven to touch <br> And i wanna hold you so much <br> At long last love has arrived <br> And i thank god i'm alive <br> You're just too good to be true <br> Can't take my eyes off of you"
Crazy,"No one's ever made me feel so happy, remorseful, or so insecure <br> Oh God, you're everything I hate and everything I adore <br> You said you like this one songwriter <br> Now I'm tryna write this song like her <br> And no one's gonna love you <br> Like I do  <br>  <br>  <br>  <br> Now that much I know <br> I'll be your morning cup of coffee, the light guiding you home <br> Oh, you're my medicine, my vice <br> You keep me up at night <br> So tell me, baby <br> Am I crazy in love or just crazy? <br> (Ba-da-dee-da, dee-da, dee-da)"
Deja vu,"{1° Verso} <br> Macchine che vanno verso Malibu <br> Gelato alla fragola, un cucchiaio per due <br> Scambi di giacche <br> Ridendo per quanto sembra piccola su di te (Ah-ha-ha-ha) <br> Riguardando Glee <br> Essere noiosi, cantando in armonia <br> Scommetto che se la sta tirando con i suoi amici, dicendo che sei così unico (Hm) <br> {Pre-Ritornello} <br> Quando le dirai che abbiamo fatto anche quello? <br> Pensa che sia speciale, ma è tutto riusato <br> Quello era il nostro posto, l'ho trovato per prima <br> Le dici gli scherzi che ti ho fatto io <br> {Ritornello} <br> Hai déjà vu, quando è con te? <br> Hai déja vu? (Ha) <br> Hai déjà vu, huh? <br> {2° Verso} <br> La chiami, dicendo quasi il mio nome? <br> Perchè siamo onesti, suonano simili <br> Un'altra attrice <br> Odio pensare che еro il tuo tipo <br> Scommetto che conosce Billy Joеl <br> Perché le hai suonato ""Uptown Girl""  <br>  <br>  <br>  <br> La state cantando insieme <br> Scommetto che le dici quanto la ami <br> Tra il ritornello e il verso <br> {Pre-Ritornello} <br> Quando le dirai che abbiamo fatto anche quello? <br> Pensa che sia speciale, ma è tutto riusato <br> Quello era lo show di cui parlavamo <br> Ti ho suonato le canzoni che ora sta cantando con te <br> {Ritornello} <br> Do you get déjà vu when she's with you? <br> Do you get déjà vu? (Huh) <br> Do you get déjà vu? <br> {Bridge} <br> Gelato alla fragola in Malibu <br> Non comportarti come se non avessi fatto anche noi quella roba <br> Vi state scambiando le giacche come facevamo <br> (Si, tutto è riusato) <br> Suonale il piano, ma non sa nemmeno <br> Che ero io quella che ti ha insegnato Billy Joel <br> Ragazza diversa, ma niente di nuovo <br> {Outro} <br> So che hai déjà vu <br> So che hai déja vu <br> So che hai déjà vu "
"Drivers Licence,Arcade remix","I know we weren`t perfect but I`ve never felt this way of no one..Gues you never mean what you wrote in that song about mee <br> Cause you said forever now I'm driving past you street <br> Red Lights Stop Sings <br> Yeah, I still see your face in the white cars, Front yards  <br>  <br>  <br>  <br> Can`t drive past the place we used to go to yeah <br> I still fu*kin Love you babe~ <br> (Oooooo) Ohhhhh All I know All I know <br> LOVING YOU WAS A LOSING GAME"
