Song Title,Lyrics
A Change Is Gonna Come,"[Verse 1] <br> I was born by the river, in a little tent <br> And oh, just like that river <br> I've been running ever since <br> [Chorus] <br> It's been a long, long time coming, but I know <br> A change is gonna come, oh yes it will <br> [Verse 2] <br> It's been too hard living, but I'm afraid to die <br> Cause I don't know what's up there, beyond the sky <br> [Chorus] <br> It's been a long, long time coming, but I know <br> A change is gonna come, oh yes it will <br> [Verse 3] <br> Now I go to the movies, and I go downtown <br> But somebody keeps telling me don't hang around <br> [Chorus] <br> It's been a long, long time coming, but I know <br> A change is gonna come, oh yes it will  <br>  <br>  <br>  <br> Yes, sir <br> [Verse 4] <br> So now I go to my brother <br> And I say, ""Brother, help me, please"" <br> But somehow, he winds up knocking me <br> Back down on my knees <br> Oh, there were times I thought I wouldn't last for long <br> Now I think I'm able, able to carry on <br> [Chorus] <br> It's been a long, long time coming, but I know <br> A change is gonna come, yes it will, oh, I know <br> A change is gonna come <br> I said I know <br> [Outro] <br> A change is gonna come, hey, yeah <br> A change is gonna come, right now <br> A change is gonna come, I see it now, yeah, oh my, yeah <br> I said a change is gonna come"
A Father's Way,"I build a fence around you in a fathers way <br> I try to feel what it is your going through <br> Cos Ive played many ways <br> When you grow, how much will it take to slow you down <br> Half the way? <br> Do my best to please you and I do whats right <br> I try to find each word that Ill say to you <br> When you come home tonight <br> And if so, how hard will we cry before our sound <br> Fades away? <br> One day when the fence is not so high <br> The road you took <br> And How far will you go? <br> And How high will you climb? <br> And when all in lifes unfair <br> Are you strong enough to find another way, another way <br> Another way? <br> A Fathers way <br> I build a fence around you in a fathers way  <br>  <br>  <br>  <br> Just like the one who used to preach to me <br> Now Ive become that way <br> But you know <br> How soft now the hand that used to strike <br> To the heart <br> I want you to know <br> And One day when the fence is not so high <br> The road you took <br> And How far will you go? <br> And How high will you climb? <br> And when all in lifes unfair <br> Are you strong enough to find another way, another way <br> A fathers way <br> Find another way? <br> Find another way? A Father's way <br> Theres no way <br> You will stay <br> Theres no way <br> I know you <br> Theres no way <br> You will stay <br> Theres no way <br> I know you <br> Theres no way <br> That your gonna stay, theres no way <br> I build a fence around you in a fathers way"
A Minor Groove,"I get high when I touch ya... <br> Oooooo, <br> Oh, baby, baby, baby. <br> First you wanted to be free, <br> Now you must decide just what you want from me. <br> Tell me then what k**s if we, <br> Show all our love, <br> Our love. <br> Ya look good and-I, I feel fine. <br> Being low is a, a real high. <br> Well I love you so, <br> It's alright and-I, <br> Cain my brain, <br> Cain my brain. <br> On your face there is a sign. <br> You need love just like I do-ooo. <br> Tell me can we give this much in time. <br> Oh, we carry on, <br> We can. <br> Well-ya, ya look good and-I, I feel fine. <br> Being low is a, a real high. <br> Well I love you so, <br> It's alright when-I, <br> Cain my brain, <br> Wanna cain my brain, <br> Cain my brain, <br> Wanna cain my brain, <br> Things don't look the same. Oh naw. <br> Well, ya look good and-I, I feel fine.  <br>  <br>  <br>  <br> Well-a, being low is a, a real high. <br> Well I, love you so, <br> It's alright when-I, <br> Cain my brain, <br> Wanna cain my brain, <br> Wanna cain my brain, <br> I cain my brain, <br> Wanna cain my brain, <br> I was born to look for <br> Wanna cain my brain, <br> Stole this heart again <br> I cain my brain. <br> You f** me as ya need ta <br> Things don't look the same, Oh no. Oh no. No no. <br> Cain my brain <br> On a clear day, <br> I Cain my brain <br> If I tried I don't think I could end it better this way. <br> Wanna cain my brain <br> Oh, 'cause everything is, blue TV. <br> When I cain my brain <br> I don't look for it me. In me. <br> Cain my brain <br> Cain my brain <br> When I cain my brain <br> Wanna cain my brain, <br> Wanna cain my brain, <br> WANNA CAIN MY BRAIN, Ha, ha ha <br> Cain my brain <br> When I cain my brain"
Ain't nothing but a house party - bonus track,"They're dancing on the ceiling, they're dancing on the floor <br> People everywhere coming through the door <br> They know there's a party going on <br> Through the dance and romance all night long <br> I know it's cold outside <br> Come on baby, I'll keep you satisfied <br> All you got to do is move <br> Every time you steal that groove <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party, baby <br> It ain't nothing but a house party <br> Come on baby dig that crazy soul <br> I know you're gonna lose control <br> You can do the boogaloo <br> Anything that you want to <br> I know it's cold outside <br> Come on baby, I'll keep you satisfied <br> All you got to do is move <br> Every time you steal that groove <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party, baby <br> It ain't nothing but a house party <br> Yeah c'mon, yeah  <br>  <br>  <br>  <br> I know baby <br> I know it's cold outside <br> Come on baby, I'll keep you satisfied <br> All you got to do is move <br> Every time you steal that groove <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party, baby <br> It ain't nothing but a house party <br> I said move it, groove it <br> Baby, don't you lose it <br> I said, roll is, stroll it <br> Baby, don't control it <br> It ain't nothing but a party baby <br> It ain't nothing but a party baby <br> It ain't nothing but a party baby <br> It ain't nothing but a house party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> It ain't nothing but a party <br> Comes in the body <br> It ain't nothing but a party <br> It ain't nothing but a party <br> Comes in the body"
Ain’t No Better Love,"[Verse 1] <br> Oh that reaper, he gonna win <br> All them people that live in sin <br> There that coffin you gonna lie, so <br> Give that lady a ring of fire <br> You’re dead in your blood <br> That’s your woman <br> Ain’t no better love <br> Call that sinner, he done a crime <br> Fall back winter, it’s summertime <br> She won’t know what she means to him <br> There ain’t no way this man can win <br> He’s dead in his blood ’cause <br> That’s his woman, ain’t no better love <br> [Chorus] <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no bettеr love <br> Ain’t no better lovе <br> [Verse 2] <br> Bounty hunters along the way <br> He got time, but it’s getting late <br> Only she knows which way to go <br> She’s the future, don’t you know? <br> You’re dead in your blood, see <br> That’s your woman, ain’t no better love <br>  <br>  <br>  <br> How you stand when them bullets fly? <br> Gun in hand as you kiss the sky <br> Still the future, she’s at your side <br> Check your pulse and you’re still alive <br> She’s your blood, see <br> That’s your woman, and there ain’t no better love <br> [Chorus] <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> No better love <br> You’re dead in your blood, see <br> That’s yo’ woman, ain’t no better love <br> Let me hear you say <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no better love <br> Ain’t no... ain’t no better love <br> I said, it ain’t no <br> Ain’t no better love <br> Ain’t no better love"
All for Love,"Why must I explain the way I feel <br> From my head to my feet <br> And why do you pay truth to what they're telling you <br> It's me you should believe <br> I can't tell you I feel sure <br> But I know the way that I feel now <br> All that I am asking for is <br> Just the chance to love you more <br> I wanna come home to you <br> I would do it all if <br> You would put your faith, you'll see <br> We're half the lives that we could be <br> I'll build this castle for you <br> I would do it all for love <br> How can I exchange the words I said <br> When I hear they're my dream? <br> So do what you must do to throw them back at me <br> And you are where I can't see <br> When you're with me, feel secure <br> Don't you know the way that I feel now?  <br>  <br>  <br>  <br> All that I am asking for is <br> Just the chance to love you more <br> I wanna come home to you <br> I would do it all if <br> You would put your faith, you'll see <br> We're half the lives that we could be <br> I'll build this castle for you <br> I would do it all if <br> Ooh, you would believe it <br> You know you better believe it now <br> Ooh, you better believe it <br> You know that you better believe it now <br> All that I am asking for is <br> Just the chance to hold you more <br> I wanna come home to you <br> I would do it all if <br> You would put your faith, you'll see <br> We're half the lives that we could be <br> I'll build this castle for you <br> I would do it all for love"
Amazing,"Everyone says you're amazing <br> Say you don't know how to do it now <br> So you run <br> It's not that you're bleeding, but you're through with it now <br> So you run, so you run <br> I know that you need it, you can't live alone <br> So you run, so you run <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you hear everyone say you're amazing <br> Does anyone ask you? <br> Do you cry in your sleep and do you feel ok? <br> When you run <br> Thinking it's Doomsday you got to let it go <br> So you run, so you run <br> Pretend you don't see it, that we can live a lie <br> So you run, so you run <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are 'cause you've seen  <br>  <br>  <br>  <br> There's only one question I want to ask is it healing <br> When, when you hear everyone say you're amazing <br> Does anyone ask you? <br> Cause I know that you're real, amazing, amazing, amazing <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are 'cause you've seen <br> There's only one question I want to ask is it healing <br> When you... <br> Everyone says you're amazing <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> (I want you to always feel you're amazing) <br> You're amazing"
Amazing - kaskade remix,"SEAL <br> Everyone says you're amazing <br> Say you don't know how to do it now <br> So you run <br> It's not that you're bleeding, but you're through with it now <br> So you run, so you run <br> I know that you need it, you can't live alone <br> So you run, so you run <br> Everyone says you're amazing now that you're clean <br> Only you know the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you hear everyone say you're amazing <br> Does anybody ask you <br> Do you cry in your sleep and do you feel ok <br> When you run <br> Thinking it's Doomsday you got to let it go <br> So you run, so you run <br> Pretend you don't see it, that we can live a lie <br> So you run, so you run <br> Everyone says you're amazing now that you're clean  <br>  <br>  <br>  <br> Only you know the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When, does anybody ask you <br> 'Cause I know that you're real, amazing, amazing, amazing <br> Everyone says you're amazing now that you're clean <br> Only you know the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you <br> Everyone says you're amazing <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> (I want you to always feel you're amazing) <br> You're amazing"
Amazing - Thin White Duke Main,"Everyone says you're amazing <br> Say you don't know how to do it now, so you run <br> It's not that you're bleeding <br> But you're through with it now, so you run, so you run <br> I know that you need it, you can't live alone <br> So you run, so you run <br> Everyone says you're amazing now that you're clean <br> But only you know the real ones are 'cause you've seen <br> There's only one question I want to ask is it here and <br> When you hear everyone say you're amazing <br> Does anyone ask you? <br> Do you cry in your sleep and do you feel okay <br> When you run? <br> Thinking it's Doomsday you got to let it go <br> So you run, so you run <br> Pretend you don't see it, that we can live a lie <br> When you run, so you run <br> Everyone says you're amazing now that you're clean  <br>  <br>  <br>  <br> Only you know the real ones are 'cause you've seen <br> There's only one question I want to ask is it here and <br> When, when you hear everyone say you're amazing <br> Does anyone ask you? <br> 'Cause I know that you're real <br> Amazing, amazing, amazing <br> Everyone says you're amazing now that you're clean <br> Only you know the real ones are because you have seen <br> There's only one question I want to ask is it here and <br> When you hear, everyone says you're amazing <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> Everyone says you're amazing <br> (I want you to always feel you're amazing) <br> I want you to always feel you're amazing <br> You're amazing"
Amazing (Thin White Duke Edit),"I want you to always feel your amazing <br> I want you to always feel your amazing <br> I want you to always feel your amazing <br> Amazing <br> Say you don't know how to do it now <br> So you run <br> It's not that you're bleeding, but you're through with it now <br> So you run, so you run <br> I know that you need it, you can't live alone <br> So you run <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you hear everyone say you're amazing <br> Does anybody ask you? <br> Do you cry in your sleep and do you feel ok? <br> When you run <br> Thinking it's Doomsday you got to let it go <br> So you run <br> Pretend you don't see it, that we can live a lie  <br>  <br>  <br>  <br> So you run, so you run <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you hear <br> Everyone say your amazing <br> Does anybody ask you? <br> Cause I know that you're real, amazing, amazing, amazing <br> Everyone says you're amazing now that you're clean <br> Only you know who the real ones are cause you've seen <br> There's only one question I want to ask is it healing <br> When you hear <br> Everyone say you're amazing <br> I want you to always feel you're amazing <br> I want you to always feel you're amazing <br> I want you to always feel you're amazing <br> Everyone say you're amazing <br> You're amazing"
