Song Title,Lyrics
'tis the damn season,"If I wanted to know <br> Who you were hanging with <br> While I was gone, I would've asked you <br> It's the kind of cold <br> Fogs up windshield glass <br> But I felt it when I passed you <br> There's an ache in you <br> Put there by the ache in me <br> But if it's all the same to you <br> It's the same to me <br> So we could call it even <br> You could call me ""babe"" for the weekend <br> 'Tis the damn season, write this down <br> I'm staying at my parents' house <br> And the road not taken looks real good now <br> And it always leads to you and my hometown <br> I parked my car <br> Right between the Methodist and the school that used to be ours <br> The holidays linger like bad perfume <br> You can run but only so far <br> I escaped it too <br> Remember how you watched me leave <br> But if it's okay with you <br> It's okay with me <br> We could call it even <br> You could call me ""babe"" for the weekend <br> 'Tis the damn season, write this down <br> I'm staying at my parents' house <br> And the road not taken looks real good now <br> Time flies <br> Messy as the mud on your truck tires <br> Now I'm missing your smile, hear me out  <br>  <br>  <br>  <br> We could just ride around <br> And the road not taken looks real good now <br> And it always leads to you and my hometown <br> Sleep in half the day <br> Just for old times' sake <br> I won't ask you to wait <br> If you don't ask me to stay <br> So I'll go back to LA <br> And the so-called friends who'll write books about me if I ever make it <br> And wonder about the only soul who can tell which smiles I'm faking <br> And the heart I know I'm breaking is my own <br> To leave the warmest bed I've ever known <br> We could call it even <br> Even though I'm leaving <br> And I'll be yours for the weekend <br> 'Tis the damn season <br> We could call it even <br> You could call me ""babe"" for the weekend <br> 'Tis the damn season, write this down <br> I'm staying at my parents' house <br> And the road not taken looks real good now <br> Time flies <br> Messy as the mud on your truck tires <br> Now I'm missing your smile, hear me out <br> We could just ride around <br> And the road not taken looks real good now <br> And it always leads to you and my hometown <br> It always leads to you and my hometown"
"""Bad Blood"" Video Breakdown","Cold Open <br> The Betrayal <br> Smashed Car <br> Welvin Da Great at the Office <br> Lucky Fiori, Also at the Office <br> Futuristic Tanning Bed (??) <br> Armor Prep <br> Bursting through Walls <br> A Scene from the Movie Tron <br> Welvin in a Plastic Car <br> Target Practice <br> Crimson Curse Cackle <br> Inclement Weather Training <br> Boxing <br> Roman Candle <br> Catastrophe's Crew <br> Destructa X finally shoots Final Face Off Posters and Characters Cara Delevingne starring as Mother Chucker <br> Cindy Crawford starring as Headmistress <br> Ellen Pompeo starring as Luna  <br>  <br>  <br>  <br> Ellie Goulding starring as Destructa X <br> Gigi Hadid starring as Slay-Z <br> Hailee Steinfeld starring as the Trinity <br> Hayley Williams starring as the Crimson Curse <br> Jessica Alba starring as Domino <br> Karlie Kloss starring as Knockout <br> Kendrick Lamar starring as Welvin da Great <br> Lena Dunham starring as Lucky Fiori <br> Lily Aldridge starring as Frostbyte <br> Mariska Hargitay starring as Justice <br> Martha Hunt starring as HomeSlice <br> Selena Gomez starring as Arsyn <br> Serayah McNeill starring as Dilemma <br> Taylor Swift starring as Catastrophe <br> Zendaya starring as Cut-Throat Catastrophe Vs. Homeslice"
"""Blank Space"" Video Breakdown"," <br>  <br>  <br>  <br> In bed with the cat The boyfriend sets his eyes on her ""Wanna play?"" invitation ""I can read you like a magazine"" across the dinner table Riding bikes indoors Ballroom dancing Painting a portrait Walking the dogs Riding horses Hanging his portrait on the blank wall space Carving their names in the tree ""Young and reckless"" chase That sweetheart candy ""The worst is yet to come"" plot twist ""Turn the tables"" Dropping his phone Stabbing the picture ""They'll tell you I'm insane"" Ruining his clothes Throwing his burning clothes from the balcony The apple Stabbing the bleeding heart cake Wrecking his car Chopping down the tree Blank space *click* wink"
1989,"Tracklist: <br> 1. ""Welcome To New York"" <br> 2. ""Blank Space"" <br> 3. ""Style"" <br> 4. ""Out Of The Woods"" <br> 5. ""All You Had To Do Was Stay"" <br> 6. ""Shake It Off"" <br> 7. ""I Wish You Would"" <br> 8. ""Bad Blood"" <br> 9. ""Wildest Dreams"" <br> 10.""How You Get The Girl"" <br> 11. ""This Love"" <br> 12. ""I Know Places""  <br>  <br>  <br>  <br> 13. ""Clean"" Target Deluxe Tracks: <br> 14. ""Wonderland"" <br> 15. ""You Are In Love"" <br> 16. ""New Romantics"" <br> 17. ""I Know Places (Voice Memo)"" <br> 18. ""I Wish You Would (Voice Memo)"" <br> 19. ""Blank Space (Voice Memo)"" Album Art: <br> Standard Edition: Deluxe Edition:"
1989 Era Mashup,"I remember <br> When we broke up <br> The first time <br> Saying ""this is it <br> I've had enough"" <br> 'cause like <br> We hadn't seen <br> Each other in a month <br> When you, said you <br> Needed space <br> I go on too many dates <br> But i can't make 'em stay <br> At least <br> That's what people say <br> Mmh mmh <br> That's what people say <br> Mmh mmh mmh (what?) <br> Ooh, it's so sad to <br> Think about <br> The good times <br> You and i <br> So it's gonna be forever? <br> Or it's gonna go <br> Down in flames? <br> You can tell me <br> When it's over <br> If the high was <br> Worth the pain <br> You go talk <br> To your friends, talk <br> To my friends <br> Talk to me <br> (they'll tell you <br> I'm insanе) <br> But we are <br> Nevеr ever, ever, ever <br> (i shake it off <br> I shake it off) <br> And i'll write your name <br> (hey) <br> People like you <br> Always want back <br> The love they gave away <br> And people like me <br> Wanna believe you <br> When you say <br> You've changed <br> Oh my god <br> Who is she? <br> I get drunk <br> On jealousy <br> But you'll come back <br> Each time you leave <br> 'cause darling <br> I'm a nightmare <br> Dressed like a daydream <br> (i wish, i wish, i wish...) <br> I guess you didn't care <br> And i guess i liked that <br> And when i fell hard <br> You took a step back <br> Without me <br> Without me <br> Without me-e-e-e-e <br> Didn't it all seem <br> New and exciting? <br> I felt your arms <br> Twisting around me <br> I should've slept <br> With one eye <br> Opened at night <br> And i remember thinking <br> (eh, eh) <br> Are we out of the woods yet? <br> Are we out of the woods yet? <br> Are we out of the woods yet? <br> Are we out of the woods? <br> Are we in the clear yet? <br> Are we in the clear yet? <br> Are we in the clear yet? <br> In the clear yet, good <br> Are we out of the woods yet? <br> Are we out of the woods yet? <br> Are we out of the woods yet? <br> (i know places) <br> Are we out of the woods? <br> Are we in the clear yet? <br> Are we in the clear yet? <br> Are we in the clear yet? <br> In the clear yet, good  <br>  <br>  <br>  <br> Hey, all you had to do <br> Was stay <br> Had me in the palm <br> Of your hand <br> Then, why'd you had to go <br> And lock me out <br> When i let you in (hey) <br> We are too busy dancing <br> So get knocked off our feet <br> Baby, we're the new romantics <br> The best people in life <br> Are free <br> All you had to do was <br> All you had to do was <br> And i'll write your name <br> Now we got problems (oh) <br> And i don't think <br> We can solve them <br> Just take me home <br> I knew you were trouble <br> When you walked in <br> And we got <br> And we got <br> And we got <br> And we got <br> And we got <br> Bad blood <br> Hey! <br> 'cause you can hear it <br> In the silence <br> Romeo save me <br> I've been feeling so alone <br> I keep waiting for you <br> (you can feel it <br> On the way home) <br> But you never come <br> I used to think <br> That we (you can see it <br> With the lights out) <br> Were forever ever <br> And i used to say <br> (you are in love) <br> Never say never <br> I said i've been there <br> Too a few times <br> You are in love <br> You can hear it <br> In the silence <br> Silence <br> (anything, anything <br> Anything) <br> You <br> You can feel it <br> On the way home <br> Way home <br> You <br> Wildest dreams, aah, aah <br> You and i got lost in it and <br> Wildest dreams, aah, aah <br> Life was never worse <br> But never better <br> (eh, eh) <br> 'cause we're young <br> And we're reckless <br> We'll take this way too far <br> Gone was any trace of you <br> I think i'm finally clean <br> And that's how it works <br> It's how you get the girl <br> I shake it off, i shake it off <br> I, i, i shake it off, i shake it off <br> You got that <br> James dean daydream <br> Look in your eye <br> And i got that <br> Red lip classic <br> Thing that you like <br> And when we go <br> Crashing down <br> We come back every time <br> 'cause we never go <br> Are we in the clear yet? <br> Are we in the clear yet? <br> Are we in the clear yet? <br> In the clear yet, good <br> Wildest dreams, aah <br> Aah"
1989 Tour Setlist,"1. ""Welcome To New York"" <br> 2. ""New Romantics"" <br> 3. ""Blank Space"" <br> 4. ""I Knew You Were Trouble"" <br> 5. ""I Wish You Would"" <br> 6. ""How You Get The Girl"" <br> 7. ""I Know Places"" <br> 8. ""All You Had To Do Was Stay"" <br> 9. ""You Are In Love""  <br>  <br>  <br>  <br> 10. ""Clean"" <br> 11. ""Love Story"" <br> 12. ""Style"" <br> 13. ""This Love"" <br> 14. ""Bad Blood"" <br> 15. ""We Are Never Ever Getting Back Together"" <br> 16. ""Wildest Dreams / Enchanted"" <br> 17. ""Out Of The Woods"" <br> 18. ""Shake It Off"""
22,"[Verse 1] <br> It feels like a perfect night to dress up like hipsters <br> And make fun of our exes, uh uh, uh uh <br> It feels like a perfect night for breakfast at midnight <br> To fall in love with strangers, uh uh, uh uht <br> [Pre-Chorus] <br> Yeah <br> We're happy, free, confused, and lonely at the same time <br> It's miserable and magical, oh yeah <br> Tonight's the night when we forget about the deadlines <br> It's time, uh uh <br> [Chorus] <br> I don't know about you, but I'm feeling 22 <br> Everything will be alright if you keep me next to you <br> You don't know about me, but I bet you wanted to <br> Everything will be alright if we just keep dancing like we're 22 <br> 22 <br> [Verse 2] <br> It seems like one of those nights <br> This place is too crowded, too many cool kids, uh uh, uh uh <br> (Who's Taylor Swift, anyway? Ew) <br> It seems like one of those nights <br> We ditch the whole scene and end up dreaming <br> Instead of sleeping <br> [Pre-Chorus] <br> Yeah <br> We're happy, free, confused, and lonely in the best way <br> It's miserable and magical, oh yeah <br> Tonight's the night when we forget about  <br>  <br>  <br>  <br> The heartbreaks, it's time <br> Oh oh <br> [Chorus] <br> I don't know about you, but I'm feeling 22 <br> Everything will be alright if you keep me next to you <br> You don't know about me, but I bet you wanted to <br> Everything will be alright if we just keep dancing like we're 22 <br> 22 <br> I don't know about you <br> 22, 22 <br> [Bridge] <br> It feels like one of those nights <br> We ditch the whole scene <br> It feels like one of those nights <br> We won't be sleeping <br> It feels like one of those nights <br> You look like bad news, I gotta have you <br> I gotta have you <br> [Chorus] <br> I don't know about you, but I'm feeling 22 <br> Everything will be alright if you keep me next to you <br> You don't know about me, but I bet you wanted to <br> Everything will be alright if we just keep dancing like we're 22 <br> 22 <br> Dancing like 22, yeah, 22, yeah yeah <br> [Outro] <br> It feels like one of those nights <br> We ditch the whole scene <br> It feels like one of those nights <br> We won't be sleeping <br> It feels like one of those nights <br> You look like bad news, I gotta have you <br> I gotta have you"
22's,"22 <br> That's how we gon' do 'em, Taylor <br> 22 <br> Let 'em know, G, G! <br> Ay, one thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along? <br> One thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along? <br> 22 <br> It's what I'm sitting on, it's what I'm sitting on, tell 'em what I'm sitting on <br> Pulling up in a whip, like Skurt <br> Little Mama wanna take off her skirt! <br> She said ""Dub Roush, where the apples be?"" <br> I don't know girl, maybe Applebee's? <br> Come on, girl! <br> Playing with my chain and your handle freeze <br> [Come on, girl!] <br> I don't even know if you can handle deez <br> Dance moves and I'm doing that cha-cha <br> Want some hot sauce, hit 'em with Sriracha <br> One thing about me is I'm a motherf**ing G <br> I'm like the letter in the alphabet that comes after F, G, (G)! <br> Ay, one thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along?  <br>  <br>  <br>  <br> One thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along? <br> 22 <br> It's what I'm sitting on <br> 22 <br> It's what I'm sitting on, tell 'em what I'm sitting on <br> Boom and I'm back up in this bit, huh <br> Lay a little bitty on my kitty <br> Oh, I'm a big dog on the track, woof, own it <br> Pullin' up in the whip, now who phonin'? <br> Big grill, I chip my tooth on it <br> Ridin' 22's is how we do, own it <br> I'm gonna be a boss like Taylor Swift <br> I get my suits on the quick because my tailor's swift (swift) <br> All ride along, do it or no, riding it, riding it, you know how we go? <br> G, G! <br> Ay, one thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along? <br> One thing about me (about me) is I'm a motherf**ing G <br> It's what I'm sitting on, what I'm sitting on <br> Two twenty-twos, can't we get along? <br> 22 <br> It's what I'm sitting on, what I'm sitting on <br> 22 <br> It's what I'm sitting on, tell 'em what I'm sitting on"
A Message From Taylor,"Musically and lyrically, Red resembled a heart-broken person <br> It was all over the place <br> A fractured mosaic of feelings that somehow all fit together in the end <br> Happy, free, confused, lonely, devastated, euphoric, wild <br>  <br>  <br>  <br> And tortured by memories past <br> These are the original thirty songs that were meant for Red <br> I love you guys"
Ain't Nothing 'Bout You,"[Intro] <br> The way you look, the way you laugh <br> The way you love with all you have <br> There aren't nothing about you that don't do something for me <br> [Verse 1] <br> Once I thought that love was something I could never do <br> Never knew that I could feel this much <br> But this yearning in the deep part of my heart for you <br> Is more than a reaction to your touch <br> It's a perfect pa**ion and I can't get enough <br> [Chorus] <br> The way you look, the way you laugh <br> The way you love with all you have <br> There aren't nothing about you that don't do something for me <br> The way you kiss, The way you cry <br> The way you move when you walk by <br> There's aren't nothing about you (there aren't nothing about you)  <br>  <br>  <br>  <br> That don't do something for me <br> Whoa <br> [Verse 2] <br> In my life I've been hammered by some heavy blows <br> That never knocked me off my feet <br> All you got to do is smile at me and down I go <br> And baby it's no mystery why I surrender <br> Girl you got everything <br> [Chorus] <br> I love your attitude, your rose tattoo, your every thought <br> Your smile, you lips and girl the list goes on and on and on <br> [Chorus] <br> [Chorus] <br> The way you look, the way you laugh <br> The way you love with all you have <br> Your dance, your drive, You make me feel alive <br> [Outro] <br> The way you talk, the way you tease <br> By now I think you see that <br> There aren't nothing about you that don't do something for me"
