Song Title,Lyrics
2SEATER,"[Hook:] <br> We can speed in my 2 seater <br> Girl I got a 2 seater <br> Speed in my 2 seater <br> In my 2 seater <br> About a hundred on Fax and it's easy to stop <br> You see my sh** isn't stock <br> I used to piss in a pot and now I piss on the walls <br> Since I pissed off a cop, a couple tickets I have copped <br> But I can pay for them all <br> And by the model of my vehicle you know that I ball <br> A 92 but 91 the year that Tyler was spawned <br> And If I crash in the woods then I'ma follow with this <br> Like I'm tryna get stick or automatic you pick <br> sh** is static as sh**, sure my sh** is a M <br> Might get that X6 end don't follow exit him <br> Might take back street hidden <br> House got all sports cars like his garage is gym <br> Two sapphires on your neck thats his precious gems <br> Now AMG it's in boy I will eat him Benz <br> New engine you got that old sh** with those deep rims <br> You got a warranty don't care if you scratchin rims again <br> [Hook:] <br> We can speed in my 2 seater <br> Girl I got a 2 seater <br> Speed in my 2 seater <br> In my 2 seater <br> Sit in my pa**enger seat <br> You tell me I got too much speed <br> And I should slow, I should slow down <br> But I can't, cause you drive me wild <br> Girl I get a rush <br> When we're speeding in my car <br> Sometimes it's too much <br> And you can feel the wind in my heart <br> Girl I get a rush <br> When we're speeding in my car <br> Sometimes it's too much <br> I know some dudes that would find you <br> That carry rugers and shottas <br> And f**ing shoot at your Honda <br> Then f**ing zoom out in Mazdas <br> Them GOLF boys is bad for you like the food from McDonalds <br> Boy I'm a king and I ain't lying boy hakuna matata <br> Better watch for them hyenas if you flex then they swarm <br> Cashing so many checks there calling him Tyler O-Comma <br> I'm tryna ball like I was Domo Okonma but oh nada <br> Probably September... <br> Boy I'm just rhyming these syllables, s** my genitals <br> Album cover looking like the mask of the timberwolves <br> State park at Pemberton <br> Hoping that I ditched the chords and go pick up the pen again <br> Cause I k** the dark sh** like I'm motherf**ing Zimmerman <br> Turn around and lose pounds like I'm f**ing Timbaland <br> By pounds, I mean in(beep) <br> Give it till he cop brick like a wall with pig in it <br> And money coming out the blue <br> Like cops are changing fits or sh** I'm k**in' it <br> Back when left brain had the hightop fade <br> And we would go skate on them concrete waves  <br>  <br>  <br>  <br> And now I switch gears to hear the cylinders pump <br> The beat thump, don't get it twisted boy my board's in the trunk (Skate!) <br> [Girl:] Can you roll my window up? <br> [Tyler:] The f** you turn my music down for man? <br> [Girl:] Can you roll my window up? <br> [Tyler:] Why? Damn! <br> [Girl:] Cause it's windy <br> [Tyler:] But I love it when your hair... <br> Blows, when it blows, when it blows <br> When your hair blows <br> Hanging out the sunroof <br> I love it when your hair blows <br> When it blows, when it blows, when it blows <br> Hanging out the sunroof <br> I love it when your hair blows <br> When it blows, when it blows, when your hair blows <br> Hanging out the sunroof <br> Listening to Mac DeMarco <br> Hanging out the roof window <br> Switch to third gear turbo <br> Skrting on these n***as <br> Skrting on these b**hes <br> Listening to Mac DeMarco <br> Hanging out the roof window <br> Switch to third gear turbo <br> Skrting on these n***as <br> Skrting on these b**hes <br> You can say you don't want to take that drive <br> But your hair, it blows <br> I know we'll have a good time <br> You just gotta stop being scared <br> Just roll <br> Just come and roll with me <br> It's all good <br> [Erroll:] Yeah, man,what's good man, you good? I've been chilling, man. I've been doing some push-ups and sh** <br> [Lionel:] For real? <br> [Erroll:] 50 a day...Oh w-w-wait...is that that n***a Tyler? <br> [Lionel:] I think so <br> [Erroll:] b**h a** n***a here he comes, man fu*k this n***a, man, this n***a stink... w-wait be quiet, be quiet <br> [Lionel:] Ight <br> [Erroll:] My n***a, T, man, what's good, man, you good? Alright, I see you! <br> [Tyler:] I'm good, man, I'm good, I'm good <br> [Erroll:] Ay, man, I see you with your little girl sh-she looks...okay. Alright, ya'll good, man, alright! Ay, your feature don't start for another 20 minutes, so you can go get your sh** up, I can go and get some sh**... and I see you with your little j**els and sh** too, man! <br> [Tyler:] Aw thanks, man, I'm trying, man, I'm just trying <br> [Erroll:] Yeah, let me know if you need anything...I got you...just...you know...yeah <br> [Tyler:] Alright um...yeah we'll probably walk around and come back when the movie starts whenever <br> [Erroll:] Ight, man, I'mma see you <br> [Tyler:] Ight, my n***a...ight <br> [Erroll:] f**ing f*gGOT, man, I swear to GOD <br> [Lionel:] Yeah <br> [Erroll:] This n***a b**h weak too! <br> [Lionel:] Yeah, she is <br> [Erroll:] God dammit! I'd still f**!"
435,"Yeah, Ayo <br> Ayo <br> I put the feline in my hair <br> Looking like a cheetah pet <br> And you know they getting green <br> If a flower on their neck <br> If a flower on their neck <br> Hit clancy on the text <br> I ain't tryna check a bag <br> Can we get another jet? <br> I ain't gas n***as up <br> But that fuel is 50 grand <br> Pa**ionfruit in Dominican Rupublic <br> Had me dripping in the sand <br> New n***a from New York <br> Ima give him sticky hands <br> Sticky fingers from the green <br> Jasper playing with them grams <br> They was playing at the grams <br> One nom ain't enough <br> I'm a make sure that that sh** don't happen again <br> Golf boys, it's them golf boys <br> In that 12 seater wings looking like a hawk boy  <br>  <br>  <br>  <br> Getting to the paper better reup on the chalk board <br> Because the student turned into the teacher <br> Don't talk boy, cla** in session <br> 1-5, I'm a 7 <br> I'm a god n***a ask your reverend <br> And that crib in Bel-Air is heaven <br> Hot-coco outta chinas n***a pa** the beverage <br> Yeah <br> Comme de on that hombre <br> Haters with the long face <br> New whip is pirelli tire'd like a long day <br> Big dollars, the scent Prada <br> Skinny n***a also big poppa, women they adore me <br> If you see me out in public, no pictures don't record me <br> I dont really f** with yall n***a, selfish at the orgy <br> Uh <br> b**h <br> One take"
48,"Crack f**ed up the world, and I wonder if they realized the damage <br> I mean, I come from an era who made a lot of money of that sh** <br> I wonder if it f**ed with their conscious <br> It f**ed with me being out there, I couldn't stand it <br> I couldn't stand seeing people f**ing themselves up like that <br> But that's where the money came from <br> 48, 48, 48 states I get it in <br> 48, 48, 48 states I get it in <br> They call me Mr. Treat Your Nose <br> If you really need some blow <br> I can get it for the low <br> 48, 48, 48 states I get it in <br> 48, 48, 48 states I get it in <br> They call me Mr. Treat Your Nose <br> If you really need some blow <br> I can get it for the low <br> sh** is getting warmer on that corner <br> Gotta watch out for them 5-0 phoners <br> Your mother is a goner <br> I warned you before you supersized my fries with that dollar <br> You got a daughter, sh**s getting harder <br> The only thing you wanna bump her was your freedom <br> You can't afford to get caught up but you in too deep, and the seashore ain't soil <br> You got a mother, she don't support you <br> But you bought her a new house cause you love her <br> Growing up you barely had a roof <br> Now you got a coupe and it doesn't have a roof <br> I guess you're accustomed to what you're used to <br> So you bought two, n***a <br> They are coming for you, n***a <br> n***as be hating I'm doing them b**hes <br> Like Susan and Karen be doing your pockets <br> And running the man and he's losing his f**ing mind and it's all an illusion <br> Who was alludin' all of this potent <br> I am the reason your family is using and shootin' up, it's my fault, <br> You can blame me motherf**er, for k**in' your aunties and uncles, <br> The hustle and hunger, all I wanted was a cheeseburger,  <br>  <br>  <br>  <br> And a little chain tuck, didn't realize this game f**ed, up some lives <br> ""Oh how's ma?"" my conscience eats it up all the time <br> But other than that I'm fine I got a little money in my pocket. <br> 48, 48, 48 states I get it in <br> 48, 48, 48 states I get it in <br> They call me Mr. Treat Your Nose <br> If you really need some blow <br> I can get it for the low <br> 48, 48, 48 states I get it in <br> 48, 48, 48 states I get it in <br> They call me Mr. Treat Your Nose <br> If you really need some blow <br> I can get it for the low <br> n***a, we broke as f** <br> Homie got a chop shop I sold that truck <br> And I sold that dope <br> Motherf**ers hope this n***a go broke <br> But like my work I give no f**s, I'm sorry <br> She could have been a doctor, n***a, I'm sorry <br> Could have been a actor and won that Oscar, said, I'm sorry <br> I sold that soap and I k**ed black folk, I'm sorry <br> But I got a nice car, put my sister through school <br> While my momma all cool, I'm sorry <br> I'm in too deep and I can't see the shore, I'm sorry <br> You get addicted to the flip, the transaction, the hustling <br> Even more than the money, it's just your job <br> You feel like it's your duty to be the man in between the man <br> And make this happen for that person, to do this and do that <br> You become the go to guy forever <br> And next thing you know you're in too deep, way too deep <br> Scare the sh** out of you, you wind up with so much work <br> That you'll be scared to d**h <br> It's important for us to realize, man <br> We gotta get out of that, man <br> Ya know, dudes is buying choppers <br> To shoot down people that look just like them <br> Dudes is buying guns to take down each other <br> Nobody wins <br> Ya known what I mean?"
911 / Mr. Lonely,"Part I: 911 <br> [Intro: Tyler, The Creator] <br> Call me, call me, call me, uh <br> Call me, call me, call me, uh <br> Call me, call me, call me, uh <br> Call me, call me, call me <br> Call me, how you doin'? <br> Call me, my name is Lonely, nice to meet you <br> Here's my number <br> You can reach me, woo! <br> [Chorus: Tyler, the Creator] <br> Call me <br> 911, call me some time <br> You should call me <br> 911, call me some time <br> You should call me, oh <br> 911 <br> Call me <br> 911 <br> [Verse 1: Tyler, The Creator] <br> Yeah, yeah, yeah, yeah <br> My thirst levels are infinity and beyond <br> Sippin' on that lemon, ayy, I need a Beyoncé <br> Can't see straight, these shades are Céline Dion <br> s**s you can't gas me up, shout out to Elon <br> Musk, yeah I got a sold out show <br> Crowd wild out but it don't matter 'cause you not front row <br> I've been lookin' for a keeper, listen to the speaker <br> If you fit description, hit me on my beeper <br> At that 911 <br> [Bridge: Steve Lacy, Kilo Kish & Tyler, The Creator] <br> Call me some time <br> Ring, ring, ring <br> Please bling my line, you know I'll answer <br> Click <br> Call me some time <br> Ring, ring, ring <br> Please bling my line <br> [Chorus: Tyler, The Creator & Syd] <br> Call me <br> 911, call me some time <br> You should call me <br> 911, call me some time <br> You should call me, oh <br> 911 <br> You should call me <br> 911 <br> [Verse 2: Frank Ocean] <br> Chirp, chirp <br> Chirp, chirp <br> Woke up in the burbs, burbs <br> With the the birds, birds <br> Where you used to come and get me with the swerve, swerve <br> These days you gotta find time <br> Even the night line <br> Work line <br> Dial 9 <br> [Verse 3: Tyler, The Creator] <br> Five car garage <br> Full tank of the gas <br> But that don't mean nothin', nothin' <br> Nothin', nothin', without you shotgunnin' the pa**enger <br> I'm the loneliest man alive <br> But I keep on dancin' to throw 'em off <br> I'm gon' run out of moves 'cause I can't groove to the blues <br> If you know any DJs, tell 'em to call me at 911 <br> Part II: Lonely <br> [Intro: Tyler, The Creator & Frank Ocean] <br> I can't even lie, I've been lonely as f** <br> Old lonely a** n***a... need to go and get some b**hes or something  <br>  <br>  <br>  <br> I can't even lie, I've been lonely as f** <br> Weird a** n***a <br> I can't even lie, I've been lonely as f** <br> I can't even lie, I've been <br> Lonely, lonely, lonely, lonely <br> [Verse: Tyler, The Creator] <br> They say the loudest in the room is weak <br> That's what they a**ume, but they disagree <br> I say the loudest in the room <br> Is prolly the loneliest one in the room (it's me) <br> Attention seeker, public speaker <br> Oh my God, that boy is so f**in' lonely <br> Writin' songs about these people <br> Who do not exist, he's such a f**in' phony <br> One thing I know, is that I wanna <br> Win so bad, but I'm not Chicago <br> Heart is low, it's real low, it's so low <br> You can't lift me up, I'm like a 'Lardo <br> From the start it's been real dark <br> It's been so dark I guess you could call it charbroiled, huh <br> I'm playin' like Hasbro <br> I'm really sorry, call me auto <br> Crashed the McLaren, bought me a Tesla <br> I know you sick of me talkin' 'bout cars (skrrt) <br> But what the f** else do you want from me? <br> That is the only thing keepin' me company <br> Purchase some things until I'm annoyed <br> These items is fillin' the void <br> Been feelin' it for so long <br> I don't even know if it's sh** I enjoy (oh) <br> Goin' backdoors and at door <br> My partner is a chateau <br> I need love, do you got some I could borrow? <br> f** it, I can find some tomorrow <br> Woah, but that never comes <br> Like a vasectomy, what have I done? <br> I got the talent, the face and the funds <br> Found myself long ago but I haven't found someone (who) <br> Mirror, mirror on the wall (who) <br> The loneliest of them all (me) <br> Cupid actin' stupid <br> Do you got another number I could call? <br> Never had a pet <br> I've never had a pet <br> There's more fish in the sea <br> But I never had a goldfish to begin with <br> I never had a dog <br> So I've never been good with b**hes <br> 'Cause I never threw a ball, fetch <br> I never had a pet, that's where it stems from, I bet <br> Treat me like direct deposit <br> Check in on me sometime <br> Ask me how I'm really doin' <br> So I never have to press that 911 <br> [Outro] <br> Oh! Damn! Damn!"
After The Storm,"[Intro: Bootsy Collins] <br> Ah <br> Whatever goes around <br> Eventually comes back to you <br> So you gotta be careful, baby <br> And look both ways <br> Before you cross my mind <br> [Verse 1: Kali Uchis & Bootsy Collins] <br> Did you ever wonder? <br> Yeah, do you ever wonder <br> What he might be going through? <br> On his own and <br> The demons that he's facing alone <br> I hate that sometimes I can't go home <br> And it ain't just the same on the phone, no <br> But everybody's gotta go on <br> Don't they? (Yes, we do, baby) <br> So if you need a hero (if you need a hero) <br> Just look in the mirror (just look in the mirror) <br> No one's gonna save you now <br> So you better save yourself <br> And everybody's hurting <br> Everybody's going through it <br> But you just can't give up now <br> 'Cause you gotta save yourself <br> Yeah, gotta hang on– <br> [Chorus: Kali Uchis] <br> The sun'll come out <br> Nothing good ever comes easy <br> I know times are rough <br> But winners don't quit <br> So don't you give up <br> The sun'll come out <br> But we've been struggling endless days <br> Someday we'll find the love <br> 'Cause after the storm's <br> When the flowers bloom <br> [Verse 2: Tyler, The Creator]  <br>  <br>  <br>  <br> Kali, what you mean? <br> I take it offensive <br> 'Cause I'm the hottest flower boy <br> That popped up on the scene <br> Feeling better, better than ever <br> 'Cause your umbrella, -brella (-brella, light) <br> Sun is beaming on me like headlights beaming on Bambi <br> Now let's pretend the street is the room <br> And you are a Camry <br> 'Cause your drama candid <br> The Tito to my Randy <br> Now let's produce some thrillers <br> My chocolate wit' yo' vanilla, uh <br> [Chorus: Kali Uchis] <br> The sun'll come out <br> Nothing good ever comes easy <br> I know times are rough <br> But winners don't quit <br> So don't you give up <br> The sun'll come out <br> But we've been struggling endless days <br> Someday we'll find the love <br> 'Cause after the storm... <br> [Bridge: Kali Uchis] <br> I know it's hard <br> But do you even really try? <br> Maybe you could understand <br> When all you had to do was ask <br> And just open your mind <br> When everything is pa**ing by <br> And all you had to do was try <br> Yeah, all you had to was try <br> [Outro: Bootsy Collins & Kali Uchis] <br> Try, try, try, try, try <br> All you had to do was try <br> Try, try, try, try"
After The Storm (Pete Rock Remix),"[Intro: Bootsy Collins] <br> Ah, whatever goes around <br> Eventually comes back to you <br> So you gotta be careful, baby <br> And look both ways <br> Before you cross my mind <br> [Verse 1: Kali Uchis & Bootsy Collins] <br> Did you ever wonder, yeah, do you ever wonder? <br> What he might be going through on his own, and <br> The demons that he's facing alone (Sometimes it hurts baby) <br> I hate that sometimes I can't go home <br> And it just ain't the same on the phone, no <br> But everybody's gotta go on, don't they? <br> Yes, we do, baby <br> [Pre-Chorus: Kali Uchis & Bootsy Collins] <br> So if you need a hero (if you need a hero) <br> Just look in the mirror (just look in the mirror) <br> No one's gonna save you now <br> So you better save yourself <br> And everybody's hurting <br> Everybody's going through it <br> But you just can't give up now <br> 'Cause you gotta save yourself <br> Yeah, gotta hang on, baby <br> [Chorus: Kali Uchis] <br> The sun'll come out, nothing good ever comes easy <br> I know times are rough but winners don't quit <br> So don't you give up, the sun'll come out <br> But we've been struggling endlessly <br> Someday we'll find the love <br> 'Cause after the storm's when the flowers bloom <br> [Verse 2: Tyler, The Creator] <br> Kali, what you mean? I take it offensive <br> 'Cause I'm the hottest flower boy <br> That popped up on the scene <br> Feeling better, better than ever <br> 'Cause your umbrella, -brella (-brel-la) <br> Sun is beaming on me like headlights beaming on Bambi <br> Now let's pretend the street is the room <br> And you are a Camry, 'cause you drive me candy <br> The Tito to my Randy, now let's produce some thrillers <br> My chocolate wit' yo' vanilla, uh <br> [Chorus: Kali Uchis] <br> The sun'll come out <br> Nothing good ever comes easy <br> I know times are rough <br> But winners don't quit <br> So don't you give up <br> The sun'll come out <br> But we've been struggling endless days <br> Someday we'll find the love <br> 'Cause after the storm... <br> [Bridge: Kali Uchis] <br> I know it's hard <br> But did you even really try? <br> Maybe you could understand <br> When all you had to do was ask <br> And just open your mind <br> When everything is pa**ing by <br> And all you had to do was try <br> Yeah, all you had to was try <br> [Outro: Bootsy Collins & Kali Uchis] <br> Try, try, try, try, try <br> And all you had to do was try <br> Try, try, try, try <br>  <br>  <br>  <br>  <br> [Intro: Bootsy Collins] <br> Ah, whatever goes around <br> Eventually comes back to you <br> So you gotta be careful, baby <br> And look both ways <br> Before you cross my mind <br> [Verse 1: Kali Uchis & Bootsy Collins] <br> Did you ever wonder, yeah, do you ever wonder? <br> What he might be going through on his own, and <br> The demons that he's facing alone (Sometimes it hurts baby) <br> I hate that sometimes I can't go home <br> And it just ain't the same on the phone, no <br> But everybody's gotta go on, don't they? <br> Yes, we do, baby <br> [Pre-Chorus: Kali Uchis & Bootsy Collins] <br> So if you need a hero (if you need a hero) <br> Just look in the mirror (just look in the mirror) <br> No one's gonna save you now <br> So you better save yourself <br> And everybody's hurting <br> Everybody's going through it <br> But you just can't give up now <br> 'Cause you gotta save yourself <br> Yeah, gotta hang on, baby <br> [Chorus: Kali Uchis] <br> The sun'll come out, nothing good ever comes easy <br> I know times are rough but winners don't quit <br> So don't you give up, the sun'll come out <br> But we've been struggling endlessly <br> Someday we'll find the love <br> 'Cause after the storm's when the flowers bloom <br> [Verse 2: Tyler, The Creator] <br> Kali, what you mean? I take it offensive <br> 'Cause I'm the hottest flower boy <br> That popped up on the scene <br> Feeling better, better than ever <br> 'Cause your umbrella, -brella (-brel-la) <br> Sun is beaming on me like headlights beaming on Bambi <br> Now let's pretend the street is the room <br> And you are a Camry, 'cause you drive me candy <br> The Tito to my Randy, now let's produce some thrillers <br> My chocolate wit' yo' vanilla, uh <br> [Chorus: Kali Uchis] <br> The sun'll come out <br> Nothing good ever comes easy <br> I know times are rough <br> But winners don't quit <br> So don't you give up <br> The sun'll come out <br> But we've been struggling endless days <br> Someday we'll find the love <br> 'Cause after the storm... <br> [Bridge: Kali Uchis] <br> I know it's hard <br> But did you even really try? <br> Maybe you could understand <br> When all you had to do was ask <br> And just open your mind <br> When everything is pa**ing by <br> And all you had to do was try <br> Yeah, all you had to was try <br> [Outro: Bootsy Collins & Kali Uchis] <br> Try, try, try, try, try <br> And all you had to do was try <br> Try, try, try, try"
Analog,"[Hook] <br> I can grab the fireworks, the soda, all the cookies we can eat <br> Make you nauseous but be cautious, this is not Dawson's Creek <br> We could sneak away, f** it, you could bring an eighth <br> I'm not gon' smoke but I'm just asking baby сould you meet me by the lake? <br> Said bring a towel, well baby meet me by the lake <br> Bathing suit is going down, sh** just meet me by the lake <br> We could count the shooting stars, well could you meet me by the lake? <br> Summer never has to end with me <br> [Verse 1: Hodgy] <br> I'm give it to her, she wants that summer time <br> I'm give it like no other cause she knows I'm hers <br> Damn right she's mine, we both know it <br> So when we separate everything fine, her phone ringin' in her purse <br> Damn right it's me, I'm her n***a, n***a <br> Come for mines in summer time, I'mma bust that trigger, n***a <br> Catch us where the beach at, she wanna go shopping <br> Sun down after club cause she like to get it popping <br> Sangria on my feet ma, cause she likes to get it popping  <br>  <br>  <br>  <br> No ecstasy for her but she wanna get it popping <br> Drop topping, I measure her pleasure <br> Then drop in when she get out of place I quantinize <br> She is my concubine, I am her porcupine <br> I poke her face her throat for taste, give me head like I'm on her mind <br> I know her an*lyzation, so when she try to fake <br> Summer time in the boat of love, meet me by the lake <br> [Hook] <br> [Verse 2: Tyler] <br> I packed a couple sandwiches inside that basket <br> And brought some extra towels if anyone was asking <br> We should take a dip in that lake quick and then split <br> Then do something that's beyond what we both can imagine <br> [Brigde] <br> Watch the sunset, we can watch the sunset <br> Watch the sunset (There goes the rainbow) <br> [Outro] <br> Grab a drink, look in the sky, we never have to leave <br> We're here, all night, school is in session <br> Look, you know, the water's pretty deep, let's go to sleep"
Answer,"Because when I call <br> I hope you pick up your phone <br> I'd like to talk to you <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> Because when I call <br> I hope you pick up your phone <br> I'd like to talk to you <br> I hope you answer <br> Hey Dad, it's me, um... <br> Oh, I'm Tyler, I think I be your son <br> Sorry, I called you the wrong name, see, my brain's splitting <br> Dad isn't your name, see f*ggot's a little more fitting <br> Mom was only twenty when you ain't have any f**s to spare <br> You Nigerian f**, now I'm stuck with this sh**ty facial hair <br> Also stuck with a beautiful home with a case stairs <br> So you not being near f**ing fire-started my damn career <br> But f** it, I got Clancy, he, gave me the chance to see <br> A world I wasn't supposed to, I'm stoked that I didn't know you <br> But, s**s you ain't give a f** and consider a s**m donor now <br> The f** is an Okonma? I'm changing my sh** to Haley <br> And I ain't just being pa**ive, n***a. <br> You're a f**ing f*ggot, n***a. <br> Got a show on Monday, guess who ain't getting no pa**es, n***a? <br> But if I ever had the chance to ask this n***a <br> And call him... <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> Because when I call (When I call, baby) <br> I hope you pick up your phone (Please pick up)  <br>  <br>  <br>  <br> I'd like to talk to you <br> I hope you answer <br> s** my f**ing dick and swallow this case of nuts <br> Ace hates your guts, I'm a selfish f**, <br> And I ain't sharing green as if I'm facing blunts <br> Frank is out the closet, Hodgy's an alcoholic <br> Syd might be bipolar, but f** it, I couldn't call it <br> Supposed to be gone until November but quickly came back in August <br> I left two months through September to clearly remember all this <br> I'd like to tell my grandma, but she's just nostalgia <br> I'll call her number <br> But she won't answer <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> I hope you answer <br> Because when I call (When I call, baby) <br> I hope you pick up your phone <br> (I'd like to talk to you) <br> I hope you answer <br> You claim to hate my f**ing guts <br> But say I'm on an island in Thailand and I was wildin' <br> And, if I got stranded had to man up and hold my nuts <br> And hope that I could live off salt water and f**ing coconuts <br> Phone ain't got no service this 3G is f**ing worthless <br> Day is getting dark like the area's turning urban <br> You'll be f**ing nervous like me inside of a churches <br> But, I'mma get in contact regardless, and <br> I hope you answer. <br> That last verse was about this girl. Haha."
Appraised*,"Lyrics from Snippet <br> [Verse: Tyler, The Creator] <br> Ayo <br> b*tch, I called you a Uber, and that's the only way I'm giving you payback <br> My sh*t nasty like that one ni**a from A$AP <br> Been ill since I was twelve, was Rocky but ended swell <br> Now say Tyler, watch these motherfu*kers start ringing bells <br>  <br>  <br>  <br> 'Cause I spit fire, and sh*t cold <br> This sh*t so mean, nice rocks and I get stones <br> This sh*t so clean and bright, bold <br> The gold got a grip hold <br> All these Lucky Charms like a thick bowl <br> The diamonds are appraised (ni**a) <br> Yeah"
AssMilk,"Uhh, addicts arise, when I arrive <br> In this cracked crack f*g bag slab in disguise <br> Fat sack of knives in the pa**enger side, b**h <br> Reach for the door, get your access denied <br> I'm not an a**hole I just don't give a f** a lot <br> The only time I do is when a b**h is screamin' ""Tyler, stop!"" <br> The big bad wolf to me you're just a minor fox <br> Red ridin' is gettin' some of this wolfly odder co*k <br> We the n***as you scared of, like bad dentists <br> Flow is anthemic, dirty like it's plants in it <br> Sick, spit a pandemic, crack and Cancer mixed with cannabis <br> To have a b**h, ready to stab a clit with some gla** and sh** <br> Your whole gang will be diminished, Bunch got the Brady's in it <br> Spit sick sh** like my saliva got the rabies in it <br> f** rap, I'll be a landlord so I can rape a tenants daughter <br> Leave my house with a new stomach, and a baby in it <br> Face it, me and Ace's is sick like malaria carriers <br> Jim Carrey her to the cemetary to bury her <br> Listen busters, scarier when I finger f** her <br> After I dig her up and then eat her out with a bit of mustard <br> Took karate, mommy told me ""Tyler toughen up"" <br> Rihanna haircut, somebody tell Chris Brown to f** me up <br> Had to teach the b**h manners, now I gotta learn her <br> I'll beat the f** out your b**h anonymous, Ike Turner <br> Over, sloppy seconds is my preference <br> Except for when I'm feedin' on the flesh of a pedestrian <br> Nessy loch monster stop! Will he though? Probably not <br> Silly hos lick my balls like FIFA lollipops <br> Get the certain tingle, eatin' Haagen Dazs <br> With some soccer moms while they like to f**in' sit and mingle <br> Watch an Animal Planet document on the Eagles <br> In the flyest '06 Supreme beanie, Sigel <br> Your grind's feeble, I'm regal, really, I'm Willy Smith  <br>  <br>  <br>  <br> I am Legend a Snicker dick in a vanilly chick <br> Come take a stab at it f*ggot, I preordered your casket <br> This is known as a cla**ic, yeah that chapped lips crack sh** <br> Hat is always forest so the b**hes call me Gump <br> But compliment her tits and then its off to hump her <br> f** her in a hummer while I rape her and I put her in a slumber <br> It's not a figure of speech when I tell you that I dumped her <br> No narcissists, sippin' on arsenic <br> Carved carca**es in the garage, don't park in it <br> Hard as finding retarded kids at Harvard <br> It's Wolf Gang barkin' keep you up like car alarms and sh** <br> Over the edge, yeah I had in a potato sack <br> Cause I'm cold as ice like Anasia when she f**in' Traq <br> I'm the type to put you down and bring myself up <br> So when I rape a b**h I hold her down and get my best nut <br> The reincarnation of '98 Eminem <br> 60 Crip and Grizzly and some RMK Denim <br> Pay attention I'm stabbin' your women friends, like a gentlemen <br> Then dippin' with the f**in' pen to go sin again <br> White girl, you can ask her what the dick be like <br> At monster madness doin' drive by's on a f**in' fixie bike <br> f** it moron, snortin' oxycontin, wearin' cotton <br> Oxymoron like buff f*ggots playin' sissy dykes <br> This the sh** that get cripple b**hes to hop <br> Dirty crack pipes with, bullsh** to stop, ho <br> Boss broke, spouse choke, blouse open <br> Sly's little shop of horrors, now showin' <br> I hate gays, g**ners and f**in' jerkers <br> Unless it's gay g**ners: that's f**in' jerkers <br> Whoa yo, yo.. no h*mo, I'm not gay, f*ggot <br> Odd Future Wolf Gang, Wu-Tang bangin' in your system <br> Probably banging in your sister with my children swimmin' in her system <br> Let me say this sh** in slow-mo, h*mo <br> You don't f**in' skate, take off that Box Logo"
